title,authors,date,target year
PGA: post-GWAS analysis for disease gene identification,"Jhih-Rong Lin, Daniel Jaroslawicz, Ying Cai, Quanwei Zhang, Zhen Wang ...",29 December 2017,2017
SV2: accurate structural variation genotyping and de novo mutation detection from whole genomes,"Danny Antaki, William M Brandler, Jonathan Sebat",29 December 2017,2017
ChopStitch: exon annotation and splice graph construction using transcriptome assembly and whole genome sequencing data,"Hamza Khan, Hamid Mohamadi, Benjamin P Vandervalk, Rene L Warren, Justin Chu ...",29 December 2017,2017
MIIC online: a web server to reconstruct causal or non-causal networks from non-perturbative data,"Nadir Sella, Louis Verny, Guido Uguzzoni, Séverine Affeldt, Hervé Isambert",29 December 2017,2017
CHROMIXS: automatic and interactive analysis of chromatography-coupled small-angle X-ray scattering data,"Alejandro Panjkovich, Dmitri I Svergun",28 December 2017,2017
Aligning dynamic networks with DynaWAVE,"Vipin Vijayan, Tijana Milenković",28 December 2017,2017
ChronQC: a quality control monitoring system for clinical next generation sequencing,"Nilesh R Tawari, Justine Jia Wen Seow, Dharuman Perumal, Jack L Ow, Shimin Ang ...",28 December 2017,2017
Towards self-learning based hypotheses generation in biomedical text domain,"Vishrawas Gopalakrishnan, Kishlay Jha, Guangxu Xun, Hung Q Ngo, Aidong Zhang",26 December 2017,2017
"DyNetViewer: a Cytoscape app for dynamic network construction, analysis and visualization","Min Li, Jie Yang, Fang-Xiang Wu, Yi Pan, Jianxin Wang",23 December 2017,2017
Ontological function annotation of long non-coding RNAs through hierarchical multi-label classification,"Jingpu Zhang, Zuping Zhang, Zixiang Wang, Yuting Liu, Lei Deng",23 December 2017,2017
polyPK: an R package for pharmacokinetic analysis of multi-component drugs using a metabolomics approach,"Mengci Li, Shouli Wang, Guoxiang Xie, Xiaohui Ma, Tianlu Chen ...",23 December 2017,2017
A benchmark for comparing precision medicine methods in thyroid cancer diagnosis using tissue microarrays,"Ching-Wei Wang, Yu-Ching Lee, Evelyne Calista, Fan Zhou, Hongtu Zhu ...",23 December 2017,2017
Algorithmic identification of discrepancies between published ratios and their reported confidence intervals and P-values,"Constantin Georgescu, Jonathan D Wren",22 December 2017,2017
myTAI: evolutionary transcriptomics with R,"Hajk-Georg Drost, Alexander Gabel, Jialin Liu, Marcel Quint, Ivo Grosse",22 December 2017,2017
DiffGraph: an R package for identifying gene network rewiring using differential graphical models,"Xiao-Fei Zhang, Le Ou-Yang, Shuo Yang, Xiaohua Hu, Hong Yan",22 December 2017,2017
Protein classification using modified n-grams and skip-grams,"S M Ashiqul Islam, Benjamin J Heil, Christopher Michel Kearney, Erich J Baker",22 December 2017,2017
Mustguseal: a server for multiple structure-guided sequence alignment of protein families,"Dmitry A Suplatov, Kirill E Kopylov, Nina N Popova, Vladimir V Voevodin, Vytas K Švedas",22 December 2017,2017
DeepSig: deep learning improves signal peptide detection in proteins,"Castrense Savojardo, Pier Luigi Martelli, Piero Fariselli, Rita Casadio",21 December 2017,2017
Multiple hot-deck imputation for network inference from RNA sequencing data,"Alyssa Imbert, Armand Valsesia, Caroline Le Gall, Claudia Armenise, Gregory Lefebvre ...",21 December 2017,2017
Computational identification of binding energy hot spots in protein–RNA complexes using an ensemble approach,"Yuliang Pan, Zixiang Wang, Weihua Zhan, Lei Deng",21 December 2017,2017
R2DGC: threshold-free peak alignment and identification for 2D gas chromatography-mass spectrometry in R,"Ryne C Ramaker, Emily R Gordon, Sara J Cooper",21 December 2017,2017
mTM-align: an algorithm for fast and accurate multiple protein structure alignment,"Runze Dong, Zhenling Peng, Yang Zhang, Jianyi Yang",21 December 2017,2017
PINE-SPARKY.2 for automated NMR-based protein structure research,"Woonghee Lee, John L Markley",21 December 2017,2017
PRAPI: post-transcriptional regulation analysis pipeline for Iso-Seq,"Yubang Gao, Huiyuan Wang, Hangxiao Zhang, Yongsheng Wang, Jinfeng Chen ...",21 December 2017,2017
A high-resolution map of the human small non-coding transcriptome,"Tobias Fehlmann, Christina Backes, Julia Alles, Ulrike Fischer, Martin Hart ...",21 December 2017,2017
An automated benchmarking platform for MHC class II binding prediction methods,"Massimo Andreatta, Thomas Trolle, Zhen Yan, Jason A Greenbaum, Bjoern Peters ...",21 December 2017,2017
DPMIND: degradome-based plant miRNA–target interaction and network database,"Yuhan Fei, Rui Wang, Haoyuan Li, Shu Liu, Hongsheng Zhang ...",21 December 2017,2017
CRNET: an efficient sampling approach to infer functional regulatory networks by integrating large-scale ChIP-seq and time-course RNA-seq data,"Xi Chen, Jinghua Gu, Xiao Wang, Jin-Gyoung Jung, Tian-Li Wang ...",21 December 2017,2017
Genome U-Plot: a whole genome visualization,"Athanasios Gaitatzes, Sarah H Johnson, James B Smadbeck, George Vasmatzis",21 December 2017,2017
Missing value imputation for LC-MS metabolomics data by incorporating metabolic network and adduct ion relations,"Zhuxuan Jin, Jian Kang, Tianwei Yu",20 December 2017,2017
TCGA-assembler 2: software pipeline for retrieval and processing of TCGA/CPTAC data,"Lin Wei, Zhilin Jin, Shengjie Yang, Yanxun Xu, Yitan Zhu ...",20 December 2017,2017
GRAM-CNN: a deep learning approach with local context for named entity recognition in biomedical text,"Qile Zhu, Xiaolin Li, Ana Conesa, Cécile Pereira",20 December 2017,2017
Personal Cancer Genome Reporter: variant interpretation report for precision oncology,"Sigve Nakken, Ghislain Fournous, Daniel Vodák, Lars Birger Aasheim, Ola Myklebost ...",20 December 2017,2017
Rcupcake: an R package for querying and analyzing biomedical data through the BD2K PIC-SURE RESTful API,"Alba Gutiérrez-Sacristán, Romain Guedj, Gabor Korodi, Jason Stedman, Laura I Furlong ...",18 December 2017,2017
ProbAnnoWeb and ProbAnnoPy: probabilistic annotation and gap-filling of metabolic reconstructions,"Brendan King, Terry Farrah, Matthew A Richards, Michael Mundy, Evangelos Simeonidis ...",18 December 2017,2017
GIGI-Quick: a fast approach to impute missing genotypes in genome-wide association family data,"Khalid Kunji, Ehsan Ullah, Alejandro Q Nato, Jr, Ellen M Wijsman, Mohamad Saad",18 December 2017,2017
Computational identification of micro-structural variations and their proteogenomic consequences in cancer,"Yen-Yi Lin, Alexander Gawronski, Faraz Hach, Sujun Li, Ibrahim Numanagić ...",18 December 2017,2017
Sequential feature selection and inference using multi-variate random forests,"Joshua Mayer, Raziur Rahman, Souparno Ghosh, Ranadip Pal",18 December 2017,2017
JASPAR RESTful API: accessing JASPAR data from any programming language,"Aziz Khan, Anthony Mathelier",15 December 2017,2017
K2 and K2*: efficient alignment-free sequence similarity measurement based on Kendall statistics,"Jie Lin, Donald A Adjeroh, Bing-Hua Jiang, Yue Jiang",15 December 2017,2017
fMLC: fast multi-level clustering and visualization of large molecular datasets,"D Vu, S Georgievska, S Szoke, A Kuzniar, V Robert",15 December 2017,2017
Delta: a new web-based 3D genome visualization and analysis platform,"Bixia Tang, Feifei Li, Jing Li, Wenming Zhao, Zhihua Zhang",15 December 2017,2017
DeepSynergy: predicting anti-cancer drug synergy with Deep Learning,"Kristina Preuer, Richard P I Lewis, Sepp Hochreiter, Andreas Bender, Krishna C Bulusu ...",15 December 2017,2017
Analyzing large scale genomic data on the cloud with Sparkhit,"Liren Huang, Jan Krüger, Alexander Sczyrba",15 December 2017,2017
"Curatr: a web application for creating, curating and sharing a mass spectral library","Andrew Palmer, Prasad Phapale, Dominik Fay, Theodore Alexandrov",14 December 2017,2017
A novel approach based on KATZ measure to predict associations of human microbiota with non-infectious diseases,"Xing Chen, Yu-An Huang, Zhu-Hong You, Gui-Ying Yan, Xue-Song Wang",14 December 2017,2017
CscoreTool: fast Hi-C compartment analysis at high resolution,"Xiaobin Zheng, Yixian Zheng",13 December 2017,2017
Machine learning for classifying tuberculosis drug-resistance from DNA sequencing data,"Yang Yang, Katherine E Niehaus, Timothy M Walker, Zamin Iqbal, A Sarah Walker ...",12 December 2017,2017
GeoBoost: accelerating research involving the geospatial metadata of virus GenBank records,"Tasnia Tahsin, Davy Weissenbacher, Karen O’Connor, Arjun Magge, Matthew Scotch ...",12 December 2017,2017
NGLview–interactive molecular graphics for Jupyter notebooks,"Hai Nguyen, David A Case, Alexander S Rose",11 December 2017,2017
Outlier detection for improved differential splicing quantification from RNA-Seq experiments with replicates,"Scott S Norton, Jorge Vaquero-Garcia, Nicholas F Lahens, Gregory R Grant, Yoseph Barash",11 December 2017,2017
"TarHunter, a tool for predicting conserved microRNA targets and target mimics in plants","Xuan Ma, Chunyan Liu, Lianfeng Gu, Beixin Mo, Xiaofeng Cao ...",11 December 2017,2017
