title,year,citations
cBinderDB: a covalent binding agent database,2016.0,
Xenolog classification,2016.0,
Mutual enrichment in aggregated ranked lists with applications to gene expression regulation,2016.0,3.0
The discordant method: a novel approach for differential correlation,2016.0,20.0
An integer programming framework for inferring disease complexes from network data,2016.0,13.0
PhagesDB: the actinobacteriophage database,2016.0,
EGAD: ultra-fast functional analysis of gene networks,2016.0,
Recognizing metal and acid radical ion-binding sites by integrating ab initio modeling with template-based transferals,2016.0,57.0
ReconMap: an interactive visualization of human metabolism,2016.0,
gargammel: a sequence simulator for ancient DNA,2016.0,
A Cytoscape app for motif enumeration with ISMAGS,2016.0,
Detecting subnetwork-level dynamic correlations,2016.0,
LongISLND: in silico sequencing of lengthy and noisy datatypes,2016.0,21.0
AKT: ancestry and kinship toolkit,2016.0,
RiboDiff: detecting changes of mRNA translation efficiency from ribosome footprints,2016.0,
MPRAnator: a web-based tool for the design of massively parallel reporter assay experiments,2016.0,
Detecting horizontal gene transfer by mapping sequencing reads across species boundaries,2016.0,18.0
Pathway-based approach using hierarchical components of collapsed rare variants,2016.0,28.0
Gene-set association tests for next-generation sequencing data,2016.0,5.0
Simultaneous discovery of cancer subtypes and subtype features by molecular data integration,2016.0,26.0
Simulated linear test applied to quantitative proteomics,2016.0,1.0
A probabilistic model for detecting rigid domains in protein structures,2016.0,4.0
PEPSI-Dock: a detailed data-driven protein–protein interaction potential accelerated by polar Fourier correlation,2016.0,18.0
Information-optimal genome assembly via sparse read-overlap graphs,2016.0,13.0
Extending partial haplotypes to full genome haplotypes using chromosome conformation capture data,2016.0,17.0
Characterizing leader sequences of CRISPR loci,2016.0,
CoLoRMap: Correcting Long Reads by Mapping short reads,2016.0,41.0
Edge-based sensitivity analysis of signaling networks by using Boolean dynamics,2016.0,6.0
iReMet-flux: constraint-based approach for integrating relative metabolite levels into a stoichiometric metabolic models,2016.0,16.0
LuxGLM: a probabilistic covariate model for quantification of DNA methylation modifications with complex experimental designs,2016.0,9.0
Bayesian parameter estimation for the Wnt pathway: an infinite mixture models approach,2016.0,13.0
Complementary feature selection from alternative splicing events and gene expression for phenotype prediction,2016.0,7.0
Estimating real cell size distribution from cross-section microscopy imaging,2016.0,13.0
Higher order methylation features for clustering and prediction in epigenomic studies,2016.0,30.0
The Network Library: a framework to rapidly integrate network biology resources,2016.0,9.0
GTRAC: fast retrieval from compressed collections of genomic variants,2016.0,15.0
Combining dependent P-values with an empirical adaptation of Brown’s method,2016.0,79.0
Patterns of amino acid conservation in human and animal immunodeficiency viruses,2016.0,4.0
SWORD—a highly efficient protein database search,2016.0,15.0
ModuleAlign: module-based global alignment of protein–protein interaction networks,2016.0,35.0
TANDEM: a two-stage approach to maximize interpretability of drug response models based on multiple molecular data types,2016.0,49.0
Genome wide predictions of miRNA regulation by transcription factors,2016.0,10.0
Assemble CRISPRs from metagenomic sequencing data,2016.0,
Improve homology search sensitivity of PacBio data by correcting frameshifts,2016.0,11.0
MetaProb: accurate metagenomic reads binning based on probabilistic sequence signatures,2016.0,36.0
ECCB 2016: The 15th European Conference on Computational Biology,2016.0,2.0
A unified model based multifactor dimensionality reduction framework for detecting gene–gene interactions,2016.0,21.0
Snowball: strain aware gene assembly of metagenomes,2016.0,11.0
DeepChrome: deep-learning for predicting gene expression from histone modifications,2016.0,148.0
XGSA: A statistical method for cross-species gene set analysis,2016.0,12.0
Drug response prediction by inferring pathway-response associations with kernelized Bayesian matrix factorization,2016.0,45.0
PRED-TMBB2: improved topology prediction and detection of beta-barrel outer membrane proteins,2016.0,50.0
AUCpreD: proteome-level protein disorder prediction by AUC-maximized deep convolutional neural fields,2016.0,52.0
PeakXus: comprehensive transcription factor binding site discovery from ChIP-Nexus and ChIP-Exo experiments,2016.0,11.0
Optimization of signal-to-noise ratio for efficient microarray probe design,2016.0,8.0
"PanTools: representation, storage and exploration of pan-genomic data",2016.0,30.0
Logical model specification aided by model-checking techniques: application to the mammalian cell cycle regulation,2016.0,30.0
Large-scale inference of conjunctive Bayesian networks,2016.0,6.0
Fast genotyping of known SNPs through approximate k-mer matching,2016.0,
A weighted exact test for mutually exclusive mutations in cancer,2016.0,36.0
A program for verification of phylogenetic network models,2016.0,
On cross-conditional and fluctuation correlations in competitive RNA networks,2016.0,4.0
MSAProbs-MPI: parallel multiple sequence aligner for distributed-memory systems,2016.0,27.0
Imbalanced multi-label learning for identifying antimicrobial peptides and their functional types,2016.0,37.0
DOMINO: development of informative molecular markers for phylogenetic and genome-wide population genetic studies in non-model organisms,2016.0,4.0
KScons: a Bayesian approach for protein residue contact prediction using the knob-socket model of protein tertiary structure,2016.0,4.0
Fast-SNP: a fast matrix pre-processing algorithm for efficient loopless flux optimization of metabolic models,2016.0,16.0
Discoal: flexible coalescent simulations with selection,2016.0,
Assembly-based inference of B-cell receptor repertoires from short read RNA sequencing data with V’DJer,2016.0,35.0
H-PoP and H-PoPG: heuristic partitioning algorithms for single individual haplotyping of polyploids,2016.0,24.0
PhenomeScape: a cytoscape app to identify differentially regulated sub-networks using known disease associations,2016.0,9.0
AlmostSignificant: simplifying quality control of high-throughput sequencing data,2016.0,5.0
Integrating genomic information with protein sequence and 3D atomic level structure at the RCSB protein data bank,2016.0,10.0
Predicting the errors of predicted local backbone angles and non-local solvent- accessibilities of proteins by deep neural networks,2016.0,13.0
PPI4DOCK: large scale assessment of the use of homology models in free docking over more than 1000 realistic targets,2016.0,17.0
What time is it? Deep learning approaches for circadian rhythms,2016.0,44.0
MSIdV: a versatile tool to visualize biological indices from mass spectrometry imaging data,2016.0,7.0
