name,title,year,citations
jiewen du,cBinderDB: a covalent binding agent database,2016.0,
xin yan,cBinderDB: a covalent binding agent database,2016.0,
zhihong liu,cBinderDB: a covalent binding agent database,2016.0,
lu cui,cBinderDB: a covalent binding agent database,2016.0,
peng ding,cBinderDB: a covalent binding agent database,2016.0,
charlotte a darby,Xenolog classification,2016.0,
maureen stolzer,Xenolog classification,2016.0,
patrick j ropp,Xenolog classification,2016.0,
daniel barker,Xenolog classification,2016.0,
dannie durand,Xenolog classification,2016.0,
dalia cohnalperovich,Mutual enrichment in aggregated ranked lists with applications to gene expression regulation,2016.0,3.0
alona rabner,Mutual enrichment in aggregated ranked lists with applications to gene expression regulation,2016.0,3.0
ilona kifer,Mutual enrichment in aggregated ranked lists with applications to gene expression regulation,2016.0,3.0
yael mandelgutfreund,Mutual enrichment in aggregated ranked lists with applications to gene expression regulation,2016.0,3.0
zohar yakhini,Mutual enrichment in aggregated ranked lists with applications to gene expression regulation,2016.0,3.0
charlotte siska,The discordant method: a novel approach for differential correlation,2016.0,20.0
russell bowler,The discordant method: a novel approach for differential correlation,2016.0,20.0
katerina kechris,The discordant method: a novel approach for differential correlation,2016.0,20.0
arnon mazza,An integer programming framework for inferring disease complexes from network data,2016.0,13.0
konrad klockmeier,An integer programming framework for inferring disease complexes from network data,2016.0,13.0
erich wanker,An integer programming framework for inferring disease complexes from network data,2016.0,13.0
roded sharan,An integer programming framework for inferring disease complexes from network data,2016.0,13.0
daniel a russell,PhagesDB: the actinobacteriophage database,2016.0,
graham f hatfull,PhagesDB: the actinobacteriophage database,2016.0,
sara ballouz,EGAD: ultra-fast functional analysis of gene networks,2016.0,
melanie weber,EGAD: ultra-fast functional analysis of gene networks,2016.0,
paul pavlidis,EGAD: ultra-fast functional analysis of gene networks,2016.0,
jesse gillis,EGAD: ultra-fast functional analysis of gene networks,2016.0,
x hu,Recognizing metal and acid radical ion-binding sites by integrating ab initio modeling with template-based transferals,2016.0,57.0
