title,authors,year,citations
Anthropogenically driven environmental changes shift the ecological dynamics of hemorrhagic fever with renal syndrome,"Huaiyu Tian, Pengbo Yu, Ottar N. Bjørnstad, Bernard Cazelles, Jing Yang, Hua Tan, Shanqian Huang, Yujun Cui, Lu Dong, Chaofeng Ma, Changan Ma, Sen Zhou, Marko Laine, Xiaoxu Wu, Yanyun Zhang, Jingjun Wang, Ruifu Yang, Nils Chr. Stenseth, Bing Xu",2017,24
Vaccination has minimal impact on the intrahost diversity of H3N2 influenza viruses,"Kari Debbink, John T. McCrone, Joshua G. Petrie, Rachel Truscon, Emileigh Johnson, Emily K. Mantlo, Arnold S. Monto, Adam S. Lauring",2017,31
Transcriptional Profiling in Experimental Visceral Leishmaniasis Reveals a Broad Splenic Inflammatory Environment that Conditions Macrophages toward a Disease-Promoting Phenotype,"Fanping Kong, Omar A. Saldarriaga, Heidi Spratt, E. Yaneth Osorio, Bruno L. Travi, Bruce A. Luxon, Peter C. Melby",2017,22
Soybean cyst nematode culture collections and field populations from North Carolina and Missouri reveal high incidences of infection by viruses,"Casey L. Ruark, Stephen R. Koenning, Eric L. Davis, Charles H. Opperman, Steven A. Lommel, Melissa G. Mitchum, Tim L. Sit",2017,8
Progressive APOBEC3B mRNA expression in distant breast cancer metastases,"Anieta M. Sieuwerts, Willemijne A. M. E. Schrijver, Simone U. Dalm, Vanja de Weerd, Cathy B. Moelans, Natalie ter Hoeve, Paul J. van Diest, John W. M. Martens, Carolien H. M. van Deurzen",2017,11
When it pays to cheat: Examining how generalized food deception increases male and female fitness in a terrestrial orchid,"Ryan P. Walsh, Helen J. Michaels",2017,5
Comparing the Quality of Ambulatory Surgical Care for Skin Cancer in a Veterans Affairs Clinic and a Fee-For-Service Practice Using Clinical and Patient-Reported Measures,"Matthew P. Dizon, Eleni Linos, Sarah T. Arron, Nancy K. Hills, Mary-Margaret Chren",2017,0
Cellular Stress Response Gene Expression During Upper and Lower Body High Intensity Exercises,"Andrzej Kochanowicz, Stanisław Sawczyn, Bartłomiej Niespodziński, Jan Mieszkowski, Kazimierz Kochanowicz, Małgorzata Żychowska",2017,5
Measuring high-sensitivity cardiac troponin T blood concentration in population surveys,"Antonio Ivan Lazzarino, Jennifer S. Mindell",2017,2
Poor Quality for Poor Women? Inequities in the Quality of Antenatal and Delivery Care in Kenya,"Jigyasa Sharma, Hannah H. Leslie, Francis Kundu, Margaret E. Kruk",2017,37
