title,year,citations
Correction: Small-Molecule Inhibitors of Dengue-Virus Entry,2019,0
Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,2019,24
Plasmodium male gametocyte development and transmission are critically regulated by the two putative deadenylases of the CAF1/CCR4/NOT complex,2019,3
Correction: Reelin controls the positioning of brainstem serotonergic raphe neurons,2019,0
Correction: Towards a Better Detection of Horizontally Transferred Genes by Combining Unusual Properties Effectively,2019,0
A meta-analysis of anti-interleukin-13 monoclonal antibodies for uncontrolled asthma,2019,7
Correction: BMP-Non-Responsive Sca1+CD73+CD44+ Mouse Bone Marrow Derived Osteoprogenitor Cells Respond to Combination of VEGF and BMP-6 to Display Enhanced Osteoblastic Differentiation and Ectopic Bone Formation,2019,0
"Quality and quantity of dromedary camel DNA sampled from whole-blood, saliva, and tail-hair",2019,4
Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
‘We are always desperate and will try anything to conceive’: The convoluted and dynamic process of health seeking among women with infertility in the West Coast Region of The Gambia,2019,4
Latanoprost could exacerbate the progression of presbyopia,2019,1
"Humorous cognitive reappraisal: More benign humour and less ""dark"" humour is affiliated with more adaptive cognitive reappraisal strategies",2019,10
Predicting in-hospital mortality among non-trauma patients based on vital sign changes between prehospital and in-hospital: An observational cohort study,2019,3
Clinical outcomes and dosimetric study of hypofractionated Helical TomoTherapy in breast cancer patients,2019,6
Dengue and chikungunya seroprevalence among Qatari nationals and immigrants residing in Qatar,2019,3
A match-day analysis of the movement profiles of substitutes from a professional soccer club before and after pitch-entry,2019,12
A model based on intensity of medical care may improve outcomes for internal medicine patients in Italy,2019,2
Uncooked fish consumption among those at risk of Opisthorchis viverrini infection in central Thailand,2019,4
Omega-3 and -6 fatty acid plasma levels are not associated with liver cirrhosis-associated systemic inflammation,2019,3
Isolation and characterization of a tandem-repeated cysteine protease from the symbiotic dinoflagellate Symbiodinium sp. KB8,2019,0
A localized surface plasmon resonance-amplified immunofluorescence biosensor for ultrasensitive and rapid detection of nonstructural protein 1 of Zika virus,2019,6
Dendritic cells pulsed with placental gp96 promote tumor-reactive immune responses,2019,2
"Glycated haemoglobin threshold for dysglycaemia screening, and application to metabolic syndrome diagnosis in HIV-infected Africans",2019,3
'Nasal mask’ in comparison with ‘nasal prongs’ or ‘rotation of nasal mask with nasal prongs’ reduce the incidence of nasal injury in preterm neonates supported on nasal continuous positive airway pressure (nCPAP): A randomized controlled trial,2019,7
The benefits of sensation on the experience of a hand: A qualitative case series,2019,10
Automatic real-time gait event detection in children using deep neural networks,2019,17
New interfaces on MiD51 for Drp1 recruitment and regulation,2019,1
"Responses of soil respiration to nitrogen addition in the Sanjiang Plain wetland, northeastern China",2019,2
"Hand grip strength: Reference values for adults and elderly people of Rio Branco, Acre, Brazil",2019,14
Role of BRCA1-associated protein (BRAP) variant in childhood pulmonary arterial hypertension,2019,0
Impact of lay health worker programmes on the health outcomes of mother-child pairs of HIV exposed children in Africa: A scoping review,2019,5
Predictors of long-term prognosis in acute kidney injury survivors who require continuous renal replacement therapy after cardiovascular surgery,2019,3
Deliberate reasoning is not affected by language,2019,7
Longitudinal growth and emotional and behavioral problems at age 7 in moderate and late preterms,2019,6
Correlating exhaled aerosol images to small airway obstructive diseases: A study with dynamic mode decomposition and machine learning,2019,5
Cannabinoid and nicotine exposure during adolescence induces sex-specific effects on anxiety- and reward-related behaviors during adulthood,2019,11
Evolution of SSR diversity from wild types to U.S. advanced cultivars in the Andean and Mesoamerican domestications of common bean (Phaseolus vulgaris),2019,7
Prediction of local recurrence risk after neoadjuvant chemotherapy in patients with primary breast cancer: Clinical utility of the MD Anderson Prognostic Index,2019,3
SLC39A8 missense variant is associated with Crohn's disease but does not have a major impact on gut microbiome composition in healthy subjects,2019,3
