name,title,year,citations
xuetao shi,The fungal pathogen Magnaporthe oryzae suppresses innate immunity by modulating a host potassium channel,2018,16
yu long,The fungal pathogen Magnaporthe oryzae suppresses innate immunity by modulating a host potassium channel,2018,16
feng he,The fungal pathogen Magnaporthe oryzae suppresses innate immunity by modulating a host potassium channel,2018,16
chongyang zhang,The fungal pathogen Magnaporthe oryzae suppresses innate immunity by modulating a host potassium channel,2018,16
ruyi wang,The fungal pathogen Magnaporthe oryzae suppresses innate immunity by modulating a host potassium channel,2018,16
ting zhang,The fungal pathogen Magnaporthe oryzae suppresses innate immunity by modulating a host potassium channel,2018,16
wei wu,The fungal pathogen Magnaporthe oryzae suppresses innate immunity by modulating a host potassium channel,2018,16
zeyun hao,The fungal pathogen Magnaporthe oryzae suppresses innate immunity by modulating a host potassium channel,2018,16
yi wang,The fungal pathogen Magnaporthe oryzae suppresses innate immunity by modulating a host potassium channel,2018,16
guoliang wang,The fungal pathogen Magnaporthe oryzae suppresses innate immunity by modulating a host potassium channel,2018,16
yuese ning,The fungal pathogen Magnaporthe oryzae suppresses innate immunity by modulating a host potassium channel,2018,16
alejandro m sevillano,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
natalia fernándezborges,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
neelam younas,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
fei wang,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
saioa r elezgarai,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
susana bravo,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
ester vázquezfernández,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
isaac rosa,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
hasier eraña,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
david gil,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
sonia veiga,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
enric vidal,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
melissa l ericksonbeltran,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
esteban guitián,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
christopher j silva,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
romolo nonno,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
jiyan ma,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
joaquín castilla,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
jesús r requena,Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
laura n eadie,"ABCC6 plays a significant role in the transport of nilotinib and dasatinib, and contributes to TKI resistance in vitro, in both cell lines and primary patient mononuclear cells",2018,4
phuong dang,"ABCC6 plays a significant role in the transport of nilotinib and dasatinib, and contributes to TKI resistance in vitro, in both cell lines and primary patient mononuclear cells",2018,4
jarrad m goyne,"ABCC6 plays a significant role in the transport of nilotinib and dasatinib, and contributes to TKI resistance in vitro, in both cell lines and primary patient mononuclear cells",2018,4
timothy p hughes,"ABCC6 plays a significant role in the transport of nilotinib and dasatinib, and contributes to TKI resistance in vitro, in both cell lines and primary patient mononuclear cells",2018,4
deborah l white,"ABCC6 plays a significant role in the transport of nilotinib and dasatinib, and contributes to TKI resistance in vitro, in both cell lines and primary patient mononuclear cells",2018,4
jianying wang,Vesicular stomatitis forecasting based on Google Trends,2018,7
tong zhang,Vesicular stomatitis forecasting based on Google Trends,2018,7
yi lu,Vesicular stomatitis forecasting based on Google Trends,2018,7
guangya zhou,Vesicular stomatitis forecasting based on Google Trends,2018,7
qin chen,Vesicular stomatitis forecasting based on Google Trends,2018,7
bing niu,Vesicular stomatitis forecasting based on Google Trends,2018,7
weiping sun,Integrative analysis of super enhancer SNPs for type 2 diabetes,2018,4
sihong yao,Integrative analysis of super enhancer SNPs for type 2 diabetes,2018,4
jielong tang,Integrative analysis of super enhancer SNPs for type 2 diabetes,2018,4
shuai liu,Integrative analysis of super enhancer SNPs for type 2 diabetes,2018,4
juan chen,Integrative analysis of super enhancer SNPs for type 2 diabetes,2018,4
daqing deng,Integrative analysis of super enhancer SNPs for type 2 diabetes,2018,4
chunping zeng,Integrative analysis of super enhancer SNPs for type 2 diabetes,2018,4
osamu hiwaki,Noninvasive measurement of dynamic brain signals using light penetrating the brain,2018,3
hideki miyaguchi,Noninvasive measurement of dynamic brain signals using light penetrating the brain,2018,3
daniela schmid,"Pre- and post-diagnosis physical activity, television viewing, and mortality among hematologic cancer survivors",2018,5
gundula behrens,"Pre- and post-diagnosis physical activity, television viewing, and mortality among hematologic cancer survivors",2018,5
