title,year,citations
The fungal pathogen Magnaporthe oryzae suppresses innate immunity by modulating a host potassium channel,2018,16
Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,2018,10
"ABCC6 plays a significant role in the transport of nilotinib and dasatinib, and contributes to TKI resistance in vitro, in both cell lines and primary patient mononuclear cells",2018,4
Vesicular stomatitis forecasting based on Google Trends,2018,7
Integrative analysis of super enhancer SNPs for type 2 diabetes,2018,4
Noninvasive measurement of dynamic brain signals using light penetrating the brain,2018,3
"Pre- and post-diagnosis physical activity, television viewing, and mortality among hematologic cancer survivors",2018,5
The impact of selection bias in randomized multi-arm parallel group clinical trials,2018,5
Platelet activation and aggregation by the opportunistic pathogen Cutibacterium (Propionibacterium) acnes,2018,3
Metabolic effect of bodyweight whole-body vibration in a 20-min exercise session: A crossover study using verified vibration stimulus,2018,6
Immunological non-response and low hemoglobin levels are predictors of incident tuberculosis among HIV-infected individuals on Truvada-based therapy in Botswana,2018,5
"Spatiotemporal patterns of the macrofaunal community structure in the East China Sea, off the coast of Zhejiang, China, and the impact of the Kuroshio Branch Current",2018,6
Ant genera identification using an ensemble of convolutional neural networks,2018,6
"Effects of arecoline on proliferation of oral squamous cell carcinoma cells by dysregulating c-Myc and miR-22, directly targeting oncostatin M",2018,15
The proteomic response of the reef coral Pocillopora acuta to experimentally elevated temperatures,2018,20
Cellulose-dependent expression and antibacterial characteristics of surfactin from Bacillus subtilis HH2 isolated from the giant panda,2018,2
"Practice variation and practice guidelines: Attitudes of generalist and specialist physicians, nurse practitioners, and physician assistants",2018,14
The structural balance analysis of complex dynamical networks based on nodes' dynamical couplings,2018,13
Effects of environmental Bisphenol A exposures on germ cell development and Leydig cell function in the human fetal testis,2018,15
Metabarcoding analysis of eukaryotic microbiota in the gut of HIV-infected patients,2018,9
Somatodendritic surface expression of epitope-tagged and KChIP binding-deficient Kv4.2 channels in hippocampal neurons,2018,2
A short educational intervention diminishes causal illusions and specific paranormal beliefs in undergraduates,2018,5
Inequalities in global health inequalities research: A 50-year bibliometric analysis (1966-2015),2018,36
Anthropogenic marine litter composition in coastal areas may be a predictor of potentially invasive rafting fauna,2018,20
Differential determination of perceived stress in medical students and high-school graduates due to private and training-related stressors,2018,17
Simvastatin and metformin inhibit cell growth in hepatitis C virus infected cells via mTOR increasing PTEN and autophagy,2018,10
"Anti-influenza A virus activity of rhein through regulating oxidative stress, TLR4, Akt, MAPK, and NF-κB signal pathways",2018,25
Exploring unobserved household living conditions in multilevel choice modeling: An application to contraceptive adoption by Indian women,2018,0
Historical trends in modifiable indicators of cardiovascular health and self-rated health among older adults: Cohort differences over 20 years between the Berlin Aging Study (BASE) and the Berlin Aging Study II (BASE-II),2018,10
Population-based cohort study of the impacts of mild traumatic brain injury in adults four years post-injury,2018,25
Does adaptation to vertebrate codon usage relate to flavivirus emergence potential?,2018,7
"A high carbohydrate, but not fat or protein meal attenuates postprandial ghrelin, PYY and GLP-1 responses in Chinese men",2018,14
Target discovery screens using pooled shRNA libraries and next-generation sequencing: A model workflow and analytical algorithm,2018,4
The use of mosquito nets in fisheries: A global perspective,2018,18
Association between meibomian gland dysfunction and compliance of topical prostaglandin analogs in patients with normal tension glaucoma,2018,8
Sex differences in circadian food anticipatory activity are not altered by individual manipulations of sex hormones or sex chromosome copy number in mice,2018,4
"Association between temporomandibular disorders, chronic diseases, and ophthalmologic and otolaryngologic disorders in Korean adults: A cross-sectional study",2018,9
"Mitochondrial DNA reveals secondary contact in Japanese harbour seals, the southernmost population in the western Pacific",2018,6
Can long-term historical data from electronic medical records improve surveillance for epidemics of acute respiratory infections? A systematic evaluation,2018,0
Kinetics of calcium binding to dental biofilm bacteria,2018,4
Increased survival of honeybees in the laboratory after simultaneous exposure to low doses of pesticides and bacteria,2018,11
"Pettiness: Conceptualization, measurement and cross-cultural differences",2018,2
"Combination COX-2 inhibitor and metformin attenuate rate of joint replacement in osteoarthritis with diabetes: A nationwide, retrospective, matched-cohort study in Taiwan",2018,12
"Treatment with HC-070, a potent inhibitor of TRPC4 and TRPC5, leads to anxiolytic and antidepressant effects in mice",2018,29
Preferential use of unmutated immunoglobulin heavy variable region genes in Boxer dogs with chronic lymphocytic leukemia,2018,2
Remoteness influences access to sexual partners and drives patterns of viral sexually transmitted infection prevalence among nomadic pastoralists,2018,1
Antibiotic prophylaxis in orthognathic surgery: A complex systematic review,2018,7
Rural versus urban academic hospital mortality following stroke in Canada,2018,8
"The balance between apoptosis and autophagy regulates testis regression and recrudescence in the seasonal-breeding South American plains vizcacha, Lagostomus maximus",2018,12
Impacts of rising sea temperature on krill increase risks for predators in the Scotia Sea,2018,26
Effect of maternal age on the risk of preterm birth: A large cohort study,2018,52
"Improvements in bladder, bowel and sexual outcomes following task-specific locomotor training in human spinal cord injury",2018,30
Longitudinal microbiome analysis of single donor fecal microbiota transplantation in patients with recurrent Clostridium difficile infection and/or ulcerative colitis,2018,11
"Effectiveness of a LED flashlight technique in reducing livestock depredation by lions (Panthera leo) around Nairobi National Park, Kenya",2018,13
Fowlpoxvirus recombinants coding for the CIITA gene increase the expression of endogenous MHC-II and Fowlpox Gag/Pro and Env SIV transgenes,2018,0
Identification of high risk areas for avian influenza outbreaks in California using disease distribution models,2018,10
Nabiximols combined with motivational enhancement/cognitive behavioral therapy for the treatment of cannabis dependence: A pilot randomized clinical trial,2018,29
The specificity of attentional biases by type of gambling: An eye-tracking study,2018,12
Sleep and biological parameters in professional burnout: A psychophysiological characterization,2018,13
Not in wilderness: African vulture strongholds remain in areas with high human density,2018,14
Opinions of general practitioners about psychotherapy and their relationships with mental health professionals in the management of major depression: A qualitative survey,2018,4
Two way controls of apoptotic regulators consign DmArgonaute-1 a better clasp on it,2018,2
"Low prevalence of HCV infection with predominance of genotype 4 among HIV patients living in Libreville, Gabon",2018,0
Foraging plasticity in seabirds: A non-invasive study of the diet of greater crested terns breeding in the Benguela region,2018,5
A novel expert system for objective masticatory efficiency assessment,2018,5
Pattern dynamics of the reaction-diffusion immune system,2018,4
The auditory cortex hosts network nodes influential for emotion processing: An fMRI study on music-evoked fear and joy,2018,13
Erythropoietin attenuates motor neuron programmed cell death in a burn animal model,2018,7
The Glaciozyma antarctica genome reveals an array of systems that provide sustained responses towards temperature variations in a persistently cold habitat,2018,20
Visual attention mediates the relationship between body satisfaction and susceptibility to the body size adaptation effect,2018,15
Can simple trachelectomy or conization show comparable survival rate compared with radical trachelectomy in IA1 cervical cancer patients with lymphovascular space invasion who wish to save fertility? A systematic review and guideline recommendation,2018,7
Intratumoral heterogeneity characterized by pretreatment PET in non-small cell lung cancer patients predicts progression-free survival on EGFR tyrosine kinase inhibitor,2018,23
"Bypassing health facilities for childbirth in the context of the JSY cash transfer program to promote institutional birth: A cross-sectional study from Madhya Pradesh, India",2018,9
Social sensing of floods in the UK,2018,31
"Combining Ordinary Kriging with wind directions to identify sources of industrial odors in Portland, Oregon",2018,2
Hydrophobic durability characteristics of butterfly wing surface after freezing cycles towards the design of nature inspired anti-icing surfaces,2018,3
Cell type-specific suppression of mechanosensitive genes by audible sound stimulation,2018,4
Underreporting of deaths in the maternal deaths surveillance system in one region of Morocco,2018,4
Risk estimation model for nonalcoholic fatty liver disease in the Japanese using multiple genetic markers,2018,27
T cell receptor repertoire among women who cleared and failed to clear cervical human papillomavirus infection: An exploratory proof-of-principle study,2018,4
"Historical perspective: Revisiting the St. Lucia Project, a multi-year comparison trial of schistosomiasis control strategies",2018,4
Rapid autophagic regression of the milk gland during involution is critical for maximizing tsetse viviparous reproductive output,2018,1
High prevalence of S. Stercoralis infection among patients with Chagas disease: A retrospective case-control study,2018,7
Correction: Investigating the case of human nose shape and climate adaptation,2018,0
Analysis of bacterial genomes from an evolution experiment with horizontal gene transfer shows that recombination can sometimes overwhelm selection,2018,9
Simple analytical model reveals the functional role of embodied sensorimotor interaction in hexapod gaits,2018,5
Emollient use alters skin barrier and microbes in infants at risk for developing atopic dermatitis,2018,38
The Dox-pDC - A murine conditionally immortalized plasmacytoid dendritic cell line with native immune profile,2018,0
Global migration of clinical research during the era of trial registration,2018,12
Mammalian carnivore occupancy is inversely related to presence of domestic dogs in the high Andes of Ecuador,2018,8
Compact or spread? A quantitative spatial model of urban areas in Europe since 1990,2018,22
Implicit emotion regulation in adolescent girls: An exploratory investigation of Hidden Markov Modeling and its neural correlates,2018,1
A formative evaluation of the implementation of a medication safety data collection tool in English healthcare settings: A qualitative interview study using normalisation process theory,2018,4
An integrative description of Macrobiotus shonaicus sp. nov. (Tardigrada: Macrobiotidae) from Japan with notes on its phylogenetic position within the hufelandi group,2018,16
Tricks of the trade: Mechanism of brood theft in an ant,2018,2
"Multistate matrix population model to assess the contributions and impacts on population abundance of domestic cats in urban areas including owned cats, unowned cats, and cats in shelters",2018,2
Modeling and analysis of biomagnetic blood Carreau fluid flow through a stenosis artery with magnetic heat transfer: A transient study,2018,22
"Middle and Later Stone Age chronology of Kisese II rockshelter (UNESCO World Heritage Kondoa Rock-Art Sites), Tanzania",2018,24
Phalangeal joints kinematics in ostrich (Struthio camelus) locomotion on sand,2018,3
Food claims and nutrition facts of commercial infant foods,2018,10
Monitoring blood-flow in the mouse cochlea using an endoscopic laser speckle contrast imaging system,2018,8
Evaluation of the novel avocado/soybean unsaponifiable Arthrocen to alter joint pain and inflammation in a rat model of osteoarthritis,2018,11
"Australian general practitioners' knowledge, attitudes and practices towards breastfeeding",2018,5
An economic evaluation of an integrated care pathway in geriatric rehabilitation for older patients with complex health problems,2018,12
Depression and its correlations with health-risk behaviors and social capital among female migrants working in entertainment venues in China,2018,4
Combinations of plant water-stress and neonicotinoids can lead to secondary outbreaks of Banks grass mite (Oligonychus pratensis Banks),2018,5
Climate change adaptation benefits of potential conservation partnerships,2018,2
Trophic effects of adipose-tissue-derived and bone-marrow-derived mesenchymal stem cells enhance cartilage generation by chondrocytes in co-culture,2018,16
"Reversals and limitations on high-intensity, life-sustaining treatments",2018,2
"Regional cerebral effects of ketone body infusion with 3-hydroxybutyrate in humans: Reduced glucose uptake, unchanged oxygen consumption and increased blood flow by positron emission tomography. A randomized, controlled trial",2018,18
"AMModels: An R package for storing models, data, and metadata to facilitate adaptive management",2018,2
"Design, monitoring and evaluation of a direct payments approach for an ecotourism strategy to reduce illegal hunting and trade of wildlife in Lao PDR",2018,9
Formal comment on: Myhrvold (2016) Dinosaur metabolism and the allometry of maximum growth rate. PLoS ONE; 11(11): e0163205,2018,3
Why snakebite patients in Myanmar seek traditional healers despite availability of biomedical care at hospitals? Community perspectives on reasons,2018,13
Prolonging herd immunity to cholera via vaccination: Accounting for human mobility and waning vaccine effects,2018,4
Diet during pregnancy and infancy and risk of allergic or autoimmune disease: A systematic review and meta-analysis,2018,56
Ligand-induced perturbation of the HIF-2α:ARNT dimer dynamics,2018,7
Comparison of two cannulation methods for assessment of intracavernosal pressure in a rat model,2018,4
"A field-based indicator for determining the likelihood of Ixodes scapularis establishment at sites in Ontario, Canada",2018,6
A decision tree model for predicting mediastinal lymph node metastasis in non-small cell lung cancer with F-18 FDG PET/CT,2018,6
Sexual dysfunctions in MS in relation to neuropsychiatric aspects and its psychological treatment: A scoping review,2018,12
"The cellular uptake of angiogenin, an angiogenic and neurotrophic factor is through multiple pathways and largely dynamin independent",2018,6
Effects of blood glucose level on 18F-FDG uptake for PET/CT in normal organs: A systematic review,2018,21
"Characterization of knockin mice at the Rosa26, Tac1 and Plekhg1 loci generated by homologous recombination in oocytes",2018,3
Effects of physical exercise programs on cognitive function in Parkinson’s disease patients: A systematic review of randomized controlled trials of the last 10 years,2018,39
Precision (repeatability and reproducibility) of ocular parameters obtained by the Tomey OA-2000 biometer compared to the IOLMaster in healthy eyes,2018,15
Effectiveness of integrated care including therapeutic assertive community treatment in severe schizophrenia-spectrum and bipolar I disorders: Four-year follow-up of the ACCESS II study,2018,19
Temporal mechanically-induced signaling events in bone and dorsal root ganglion neurons after in vivo bone loading,2018,0
Clinical spectrum and risk factors associated with asymptomatic erosive esophagitis as determined by Los Angeles classification: A cross-sectional study,2018,3
Validation of the Spanish version of the Edinburgh Feeding Evaluation in Dementia Scale for older people with dementia,2018,4
Comparison of NREM sleep and intravenous sedation through local information processing and whole brain network to explore the mechanism of general anesthesia,2018,6
High-density genetic mapping of a major QTL for resistance to multiple races of loose smut in a tetraploid wheat cross,2018,3
Intrusion detection system using Online Sequence Extreme Learning Machine (OS-ELM) in advanced metering infrastructure of smart grid,2018,15
The more the merrier? Increasing group size may be detrimental to decision-making performance in nominal groups,2018,1
The dead and the dying - a difficult part of EMS transport: A Swiss cross-sectional study,2018,1
Assessment of data transformations for model-based clustering of RNA-Seq data,2018,1
Identification and characterization of highly versatile peptide-vectors that bind non-competitively to the low-density lipoprotein receptor for in vivo targeting and delivery of small molecules and protein cargos,2018,1
Update of thermotolerant genes essential for survival at a critical high temperature in Escherichia coli,2018,4
"Setbacks in Alzheimer research demand new strategies, not surrender",2018,7
Prevalence of sexually transmitted infections among young people in South Africa: A nested survey in a health and demographic surveillance site,2018,42
Prevalence of sexually transmitted infections and bacterial vaginosis among women in sub-Saharan Africa: An individual participant data meta-analysis of 18 HIV prevention studies,2018,47
Preventing cholera outbreaks through early targeted interventions,2018,4
The potential impact of case-area targeted interventions in response to cholera outbreaks: A modeling study,2018,17
Genetic programming based models in plant tissue culture: An addendum to traditional statistical approach,2018,2
Bonobo and chimpanzee gestures overlap extensively in meaning,2018,18
Beyond fitness tracking: The use of consumer-grade wearable data from normal volunteers in cardiovascular and lipidomics research,2018,25
