title,year,citations
Anthropogenically driven environmental changes shift the ecological dynamics of hemorrhagic fever with renal syndrome,2017,24
Vaccination has minimal impact on the intrahost diversity of H3N2 influenza viruses,2017,31
Transcriptional Profiling in Experimental Visceral Leishmaniasis Reveals a Broad Splenic Inflammatory Environment that Conditions Macrophages toward a Disease-Promoting Phenotype,2017,22
Soybean cyst nematode culture collections and field populations from North Carolina and Missouri reveal high incidences of infection by viruses,2017,8
Progressive APOBEC3B mRNA expression in distant breast cancer metastases,2017,11
When it pays to cheat: Examining how generalized food deception increases male and female fitness in a terrestrial orchid,2017,5
Comparing the Quality of Ambulatory Surgical Care for Skin Cancer in a Veterans Affairs Clinic and a Fee-For-Service Practice Using Clinical and Patient-Reported Measures,2017,0
Cellular Stress Response Gene Expression During Upper and Lower Body High Intensity Exercises,2017,5
Measuring high-sensitivity cardiac troponin T blood concentration in population surveys,2017,2
Poor Quality for Poor Women? Inequities in the Quality of Antenatal and Delivery Care in Kenya,2017,37
"Ovine Mesenchymal Stromal Cells: Morphologic, Phenotypic and Functional Characterization for Osteochondral Tissue Engineering",2017,15
Prevalence of ESBL-Producing Enterobacteriaceae in Pediatric Bloodstream Infections: A Systematic Review and Meta-Analysis,2017,28
KChIP2 genotype dependence of transient outward current (Ito) properties in cardiomyocytes isolated from male and female mice,2017,1
Dasatinib inhibits c-src phosphorylation and prevents the proliferation of Triple-Negative Breast Cancer (TNBC) cells which overexpress Syndecan-Binding Protein (SDCBP),2017,18
Exploring Team Passing Networks and Player Movement Dynamics in Youth Association Football,2017,58
Perceived risk of diabetes seriously underestimates actual diabetes risk: The KORA FF4 study,2017,24
Zika Virus Tissue and Blood Compartmentalization in Acute Infection of Rhesus Macaques,2017,57
B7-H3 Augments Inflammatory Responses and Exacerbates Brain Damage via Amplifying NF-κB p65 and MAPK p38 Activation during Experimental Pneumococcal Meningitis,2017,8
E6 and E7 Gene Polymorphisms in Human Papillomavirus Types-58 and 33 Identified in Southwest China,2017,10
Imaging of pediatric great vessel stents: Computed tomography or magnetic resonance imaging?,2017,4
Induction of Immune Tolerance to Foreign Protein via Adeno-Associated Viral Vector Gene Transfer in Mid-Gestation Fetal Sheep,2017,9
Throughput assurance of wireless body area networks coexistence based on stochastic geometry,2017,5
Measuring directional urban spatial interaction in China: A migration perspective,2017,9
Green Tea Polyphenol Induces Changes in Cancer-Related Factors in an Animal Model of Bladder Cancer,2017,15
Proteomic and transcriptomic study of brain microvessels in neonatal and adult mice,2017,7
"Metabox: A Toolbox for Metabolomic Data Analysis, Interpretation and Integrative Exploration",2017,53
Phylogeny and reclassification of Aconitum subgenus Lycoctonum (Ranunculaceae),2017,10
Vehicle autonomous localization in local area of coal mine tunnel based on vision sensors and ultrasonic sensors,2017,8
Analyzing key constraints to biogas production from crop residues and manure in the EU—A spatially explicit model,2017,23
An Intronic cis-Regulatory Element Is Crucial for the Alpha Tubulin Pl-Tuba1a Gene Activation in the Ciliary Band and Animal Pole Neurogenic Domains during Sea Urchin Development,2017,2
