title,authors,date,target year
Construction of the third-generation Zea mays haplotype map,"Robert Bukowski, Xiaosen Guo, Yanli Lu, Cheng Zou, Bing He ...",30 December 2017,2017
Assessment of the cPAS-based BGISEQ-500 platform for metagenomic sequencing,"Chao Fang, Huanzi Zhong, Yuxiang Lin, Bing Chen, Mo Han ...",23 December 2017,2017
eHistology image and annotation data from the Kaufman Atlas of Mouse Development,"Richard A Baldock, Chris Armit",20 December 2017,2017
VaDiR: an integrated approach to Variant Detection in RNA,"Lisa Neums, Seiji Suenaga, Peter Beyerlein, Sara Anders, Devin Koestler ...",18 December 2017,2017
Draft genome of the milu (Elaphurus davidianus),"Chenzhou Zhang, Lei Chen, Yang Zhou, Kun Wang, Leona G Chemnick ...",18 December 2017,2017
BS-virus-finder: virus integration calling using bisulfite sequencing data,"Shengjie Gao, Xuesong Hu, Fengping Xu, Changduo Gao, Kai Xiong ...",18 December 2017,2017
Accurate prediction of personalized olfactory perception from large-scale chemoinformatic features,"Hongyang Li, Bharat Panwar, Gilbert S Omenn, Yuanfang Guan",15 December 2017,2017
"Snake fangs: 3D morphological and mechanical analysis by microCT, simulation, and physical compression testing","Anton du Plessis, Chris Broeckhoven, Stephan G le Roux",15 December 2017,2017
"A hybrid-hierarchical genome assembly strategy to sequence the invasive golden mussel, Limnoperna fortunei","Marcela Uliano-Silva, Francesco Dondero, Thomas Dan Otto, Igor Costa, Nicholas Costa Barroso Lima ...",15 December 2017,2017
Hybrid-denovo: a de novo OTU-picking pipeline integrating single-end and paired-end 16S sequence tags,"Xianfeng Chen, Stephen Johnson, Patricio Jeraldo, Junwen Wang, Nicholas Chia ...",15 December 2017,2017
Single-molecule sequencing and optical mapping yields an improved genome of woodland strawberry (Fragaria vesca) with chromosome-scale contiguity,"Patrick P Edger, Robert VanBuren, Marivi Colle, Thomas J Poorten, Ching Man Wai ...",13 December 2017,2017
"Genome assembly of the Pink Ipê (Handroanthus impetiginosus, Bignoniaceae), a highly valued, ecologically keystone Neotropical timber forest tree","Orzenil Bonfim Silva-Junior, Dario Grattapaglia, Evandro Novaes, Rosane G Collevatti",13 December 2017,2017
The intriguing evolution of effect sizes in biomedical research over time: smaller but more often statistically significant,"Paul Monsarrat, Jean-Noel Vergnes",06 December 2017,2017
funRiceGenes dataset for comprehensive understanding and application of rice functional genes,"Wen Yao, Guangwei Li, Yiming Yu, Yidan Ouyang",04 December 2017,2017
SOAPnuke: a MapReduce acceleration-supported software for integrated quality control and preprocessing of high-throughput sequencing data,"Yuxin Chen, Yongsheng Chen, Chunmei Shi, Zhibo Huang, Yong Zhang ...",04 December 2017,2017
CNVcaller: highly efficient and widely applicable software for detecting copy number variations in large populations,"Xihong Wang, Zhuqing Zheng, Yudong Cai, Ting Chen, Chao Li ...",04 December 2017,2017
circlncRNAnet: an integrated web-based resource for mapping functional networks of long or circular forms of noncoding RNAs,"Shao-Min Wu, Hsuan Liu, Po-Jung Huang, Ian Yi-Feng Chang, Chi-Ching Lee ...",29 November 2017,2017
"Genome sequence of the Japanese oak silk moth, Antheraea yamamai: the first draft genome in the family Saturniidae","Seong-Ryul Kim, Woori Kwak, Hyaekang Kim, Kelsey Caetano-Anolles, Kee-Young Kim ...",27 November 2017,2017
Improving amphibian genomic resources: a multitissue reference transcriptome of an iconic invader,"Mark F Richardson, Fernando Sequeira, Daniel Selechnik, Miguel Carneiro, Marcelo Vallinoto ...",27 November 2017,2017
Large-scale phylogenomic analysis resolves a backbone phylogeny in ferns,"Hui Shen, Dongmei Jin, Jiang-Ping Shu, Xi-Le Zhou, Ming Lei ...",24 November 2017,2017
Conventional and hyperspectral time-series imaging of maize lines widely used in field trials,"Zhikai Liang, Piyush Pandey, Vincent Stoerger, Yuhang Xu, Yumou Qiu ...",24 November 2017,2017
Long-read sequence assembly of the firefly Pyrocoelia pectoralis genome,"Xinhua Fu, Jingjing Li, Yu Tian, Weipeng Quan, Shu Zhang ...",24 November 2017,2017
ProphTools: general prioritization tools for heterogeneous biological networks,"Carmen Navarro, Victor Martínez, Armando Blanco, Carlos Cano",24 November 2017,2017
Taiwan Biobank: making cross-database convergence possible in the Big Data era,"Jui-Chu Lin, Chien-Te Fan, Chia-Cheng Liao, Yao-Sheng Chen",15 November 2017,2017
Sim3C: simulation of Hi-C and Meta3C proximity ligation sequencing technologies,"Matthew Z DeMaere, Aaron E Darling",15 November 2017,2017
Comparative transcriptomics of 5 high-altitude vertebrates and their low-altitude relatives,"Qianzi Tang, Yiren Gu, Xuming Zhou, Long Jin, Jiuqiang Guan ...",15 November 2017,2017
"Genome sequence of the small brown planthopper, Laodelphax striatellus","Junjie Zhu, Feng Jiang, Xianhui Wang, Pengcheng Yang, Yanyuan Bao ...",10 November 2017,2017
Full genome survey and dynamics of gene expression in the greater amberjack Seriola dumerili,"Elena Sarropoulou, Arvind Y M Sundaram, Elisavet Kaitetzidou, Georgios Kotoulas, Gregor D Gilfillan ...",08 November 2017,2017
HOMINID: a framework for identifying associations between host genetic variation and microbiome composition,"Joshua Lynch, Karen Tang, Sambhawa Priya, Joanna Sands, Margaret Sands ...",08 November 2017,2017
Draft genome of the Marco Polo Sheep (Ovis ammon polii),"Yongzhi Yang, Yutao Wang, Yue Zhao, Xiuying Zhang, Ran Li ...",01 November 2017,2017
Draft genome of the reindeer (Rangifer tarandus),"Zhipeng Li, Zeshan Lin, Hengxing Ba, Lei Chen, Yongzhi Yang ...",01 November 2017,2017
A 3-way hybrid approach to generate a new high-quality chimpanzee reference genome (Pan_tro_3.0),"Lukas F K Kuderna, Chad Tomlinson, LaDeana W Hillier, Annabel Tran, Ian T Fiddes ...",30 October 2017,2017
Filling reference gaps via assembling DNA barcodes using high-throughput sequencing—moving toward barcoding the world,"Shanlin Liu, Chentao Yang, Chengran Zhou, Xin Zhou",25 October 2017,2017
"MEBS, a software platform to evaluate large (meta)genomic collections according to their metabolic machinery: unraveling the sulfur cycle","Valerie De Anda, Icoquih Zapata-Peñasco, Augusto Cesar Poot-Hernandez, Luis E Eguiarte, Bruno Contreras-Moreira ...",23 October 2017,2017
"The first near-complete assembly of the hexaploid bread wheat genome, Triticum aestivum","Aleksey V Zimin, Daniela Puiu, Richard Hall, Sarah Kingan, Bernardo J Clavijo ...",23 October 2017,2017
LAGOS-NE: a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of US lakes,"Patricia A Soranno, Linda C Bacon, Michael Beauchene, Karen E Bednar, Edward G Bissell ...",19 October 2017,2017
An architecture for genomics analysis in a clinical setting using Galaxy and Docker,"W Digan, H Countouris, M Barritault, D Baudoin, P Laurent-Puig ...",18 October 2017,2017
"Parallel sequencing lives, or what makes large sequencing projects successful","Javier Quilez, Enrique Vidal, François Le Dily, François Serra, Yasmina Cuartero ...",18 October 2017,2017
"Erratum to: Genome sequence of a rice pest, the white-backed planthopper (Sogatella furcifera)","Lin Wang, Nan Tang, Xinlei Gao, Zhaoxia Chang, Liqin Zhang ...",06 October 2017,2017
Erratum to: Morphometric analysis of Passiflora leaves: the relationship between landmarks of the vasculature and elliptical Fourier descriptors of the blade,"Daniel H. Chitwood, Wagner C. Otoni",06 October 2017,2017
Erratum to: Draft genome of the sea cucumber Apostichopus japonicus and genetic polymorphism among color variants,"Jihoon Jo, Jooseong Oh, Hyun-Gwan Lee, Hyun-Hee Hong, Sung-Gwon Lee ...",06 October 2017,2017
"Erratum to: The genome of the Antarctic-endemic copepod, Tigriopus kingsejongensis","Seunghyun Kang, Do-Hwan Ahn, Jun Hyuck Lee, Sung Gu Lee, Seung Chul Shin ...",06 October 2017,2017
Erratum to: An improved assembly of the loblolly pine mega-genome using long-read single-molecule sequencing,"Aleksey V. Zimin, Kristian A. Stevens, Marc W. Crepeau, Daniela Puiu, Jill L. Wegrzyn ...",06 October 2017,2017
"Draft genome of the gayal, Bos frontalis","Ming-Shan Wang, Yan Zeng, Xiao Wang, Wen-Hui Nie, Jin-Huan Wang ...",05 October 2017,2017
The genome draft of coconut (Cocos nucifera),"Yong Xiao, Pengwei Xu, Haikuo Fan, Luc Baudouin, Wei Xia ...",05 October 2017,2017
Panax ginseng genome examination for ginsenoside biosynthesis,"Jiang Xu, Yang Chu, Baosheng Liao, Shuiming Xiao, Qinggang Yin ...",05 October 2017,2017
Plant phenomics: an overview of image acquisition technologies and image data analysis algorithms,"Fernando Perez-Sanz, Pedro J Navarro, Marcos Egea-Cortines",03 October 2017,2017
Lightning-fast genome variant detection with GROM,"Sean D Smith, Joseph K Kawash, Andrey Grigoriev",18 September 2017,2017
Indexcov: fast coverage quality control for whole-genome sequencing,"Brent S Pedersen, Ryan L Collins, Michael E Talkowski, Aaron R Quinlan",18 September 2017,2017
Lipidomics profiling reveals the role of glycerophospholipid metabolism in psoriasis,"Chunwei Zeng, Bo Wen, Guixue Hou, Li Lei, Zhanlong Mei ...",05 September 2017,2017
Taxonomic structure and functional association of foxtail millet root microbiome,"Tao Jin, Yayu Wang, Yueying Huang, Jin Xu, Pengfan Zhang ...",05 September 2017,2017
"Genome assembly and transcriptome resource for river buffalo, Bubalus bubalis (2n = 50)","John L Williams, Daniela Iamartino, Kim D Pruitt, Tad Sonstegard, Timothy P L Smith ...",01 September 2017,2017
Long-read sequencing of the coffee bean transcriptome reveals the diversity of full-length transcripts,"Bing Cheng, Agnelo Furtado, Robert J Henry",30 August 2017,2017
De novo PacBio long-read and phased avian genome assemblies correct and add to reference genes generated with intermediate and short reads,"Jonas Korlach, Gregory Gedman, Sarah B. Kingan, Chen-Shan Chin, Jason T. Howard ...",28 August 2017,2017
The draft genome assembly of Rhododendron delavayi Franch. var. delavayi,"Lu Zhang, Pengwei Xu, Yanfei Cai, Lulin Ma, Shifeng Li ...",26 August 2017,2017
Transcriptional mapping of the primary somatosensory cortex upon sensory deprivation,"Koen Kole, Yutaro Komuro, Jan Provaznik, Jelena Pistolic, Vladimir Benes ...",23 August 2017,2017
Novel transcriptome resources for three scleractinian coral species from the Indo-Pacific,"Carly D. Kenkel, Line K Bay",23 August 2017,2017
Combining semi-automated image analysis techniques with machine learning algorithms to accelerate large-scale genetic studies,"Jonathan A. Atkinson, Guillaume Lobet, Manuel Noll, Patrick E. Meyer, Marcus Griffiths ...",23 August 2017,2017
Proteomic landscape of the primary somatosensory cortex upon sensory deprivation,"Koen Kole, Rik G.H. Lindeboom, Marijke P.A. Baltissen, Pascal W.T.C. Jansen, Michiel Vermeulen ...",23 August 2017,2017
Deep machine learning provides state-of-the-art performance in image-based plant phenotyping,"Michael P. Pound, Jonathan A. Atkinson, Alexandra J. Townsend, Michael H. Wilson, Marcus Griffiths ...",23 August 2017,2017
fastBMA: scalable network inference and transitive reduction,"Ling-Hong Hung, Kaiyuan Shi, Migao Wu, William Chad Young, Adrian E. Raftery ...",22 August 2017,2017
Development and validation of a multi-locus DNA metabarcoding method to identify endangered species in complex samples,"Alfred J. Arulandhu, Martijn Staats, Rico Hagelaar, Marleen M. Voorhuijzen, Theo W. Prins ...",19 August 2017,2017
Bayes Forest: a data-intensive generator of morphological tree clones,"Ilya Potapov, Marko Järvenpää, Markku Åkerblom, Pasi Raumonen, Mikko Kaasalainen",19 August 2017,2017
High-precision registration between zebrafish brain atlases using symmetric diffeomorphic normalization,"Gregory D. Marquart, Kathryn M. Tabor, Eric J. Horstick, Mary Brown, Alexandra K. Geoca ...",19 August 2017,2017
Positive and relaxed selection associated with flight evolution and loss in insect transcriptomes,"T. Fatima Mitterboeck, Shanlin Liu, Sarah J. Adamowicz, Jinzhong Fu, Rui Zhang ...",16 August 2017,2017
The sponge microbiome project,"Lucas Moitinho-Silva, Shaun Nielsen, Amnon Amir, Antonio Gonzalez, Gail L Ackermann ...",16 August 2017,2017
The draft genome sequence of a desert tree Populus pruinosa,"Wenlu Yang, Kun Wang, Jian Zhang, Jianchao Ma, Jianquan Liu ...",08 August 2017,2017
Population-wide sampling of retrotransposon insertion polymorphisms using deep sequencing and efficient detection,"Qichao Yu, Wei Zhang, Xiaolong Zhang, Yongli Zeng, Yeming Wang ...",31 July 2017,2017
Deep whole-genome sequencing of 90 Han Chinese genomes,"Tianming Lan, Haoxiang Lin, Wenjuan Zhu, Tellier Christian Asker Melchior Laurent, Mengcheng Yang ...",31 July 2017,2017
