title,authors,date,target year
Prognostic model for multiple myeloma progression integrating gene expression and clinical features,"Chen Sun, Hongyang Li, Ryan E Mills, Yuanfang Guan",30 December 2019,2019
Correction to: A network-based conditional genetic association analysis of the human metabolome,"Y A Tsepilov, S Z Sharapov, O O Zaytseva, J Krumsiek, C Prehn ...",30 December 2019,2019
Genomic evidence of neo-sex chromosomes in the eastern yellow robin,"Han Ming Gan, Stephanie Falk, Hernan E Moraleś, Christopher M Austin, Paul Sunnucks ...",30 December 2019,2019
Corrigendum to: Rice Galaxy: an open resource for plant science,"Venice Juanillas, Alexis Dereeper, Nicolas Beaume, Gaetan Droc, Joshua Dizon ...",30 December 2019,2019
Dissection of soybean populations according to selection signatures based on whole-genome sequences,"Jae-Yoon Kim, Seongmun Jeong, Kyoung Hyoun Kim, Won-Jun Lim, Ho-Yeon Lee ...",23 December 2019,2019
Arteria: An automation system for a sequencing core facility,"Johan Dahlberg, Johan Hermansson, Steinar Sturlaugsson, Mariya Lysenkova, Patrik Smeds ...",11 December 2019,2019
A Galaxy-based training resource for single-cell RNA-sequencing quality control and analyses,"Graham J Etherington, Nicola Soranzo, Suhaib Mohammed, Wilfried Haerty, Robert P Davey ...",11 December 2019,2019
Pseudo-chromosome–length genome assembly of a double haploid “Bartlett” pear (Pyrus communis L.),"Gareth Linsmith, Stephane Rombauts, Sara Montanari, Cecilia H Deng, Jean-Marc Celton ...",09 December 2019,2019
Accessible and reproducible mass spectrometry imaging data analysis in Galaxy,"Melanie Christine Föll, Lennart Moritz, Thomas Wollmann, Maren Nicole Stillger, Niklas Vockert ...",09 December 2019,2019
Systematic processing of ribosomal RNA gene amplicon sequencing data,"Julien Tremblay, Etienne Yergeau",09 December 2019,2019
Benchmark of long non-coding RNA quantification for RNA sequencing of cancer samples,"Hong Zheng, Kevin Brennan, Mikel Hernaez, Olivier Gevaert",06 December 2019,2019
GraphClust2: Annotation and discovery of structured RNAs with scalable and accessible integrative clustering,"Milad Miladi, Eteri Sokhoyan, Torsten Houwaart, Steffen Heyne, Fabrizio Costa ...",06 December 2019,2019
Genome-wide analysis of the H3K27me3 epigenome and transcriptome in Brassica rapa,"Miriam Payá-Milans, Laura Poza-Viejo, Patxi San Martín-Uriz, David Lara-Astiaso, Mark D Wilkinson ...",04 December 2019,2019
DAISY: A Data Information System for accountability under the General Data Protection Regulation,"Regina Becker, Pinar Alper, Valentin Grouès, Sandrine Munoz, Yohan Jarosz ...",04 December 2019,2019
Chromosome-scale assembly comparison of the Korean Reference Genome KOREF from PromethION and PacBio with Hi-C mapping information,"Hui-Su Kim, Sungwon Jeon, Changjae Kim, Yeon Kyung Kim, Yun Sung Cho ...",03 December 2019,2019
Wikipedia: Why is the common knowledge resource still neglected by academics?,Dariusz Jemielniak,03 December 2019,2019
Assembly of the 373k gene space of the polyploid sugarcane genome reveals reservoirs of functional diversity in the world's leading biomass crop,"Glaucia Mendes Souza, Marie-Anne Van Sluys, Carolina Gimiliani Lembke, Hayan Lee, Gabriel Rodrigues Alves Margarido ...",29 November 2019,2019
Assessment of human diploid genome assembly with 10x Linked-Reads data,"Lu Zhang, Xin Zhou, Ziming Weng, Arend Sidow",26 November 2019,2019
A multi-day and multi-band dataset for a steady-state visual-evoked potential–based brain-computer interface,"Ga-Young Choi, Chang-Hee Han, Young-Jin Jung, Han-Jeong Hwang",25 November 2019,2019
High-throughput phenotyping with deep learning gives insight into the genetic architecture of flowering time in wheat,"Xu Wang, Hong Xuan, Byron Evers, Sandesh Shrestha, Robert Pless ...",19 November 2019,2019
RepeatFiller newly identifies megabases of aligning repetitive sequences and improves annotations of conserved non-exonic elements,"Ekaterina Osipova, Nikolai Hecker, Michael Hiller",19 November 2019,2019
"Trochodendron aralioides, the first chromosome-level draft genome in Trochodendrales and a valuable resource for basal eudicot research","Joeri S Strijk, Damien D Hinsinger, Fengping Zhang, Kunfang Cao",18 November 2019,2019
Correction to: Transcriptome of the caribbean stony coral Porites astreoides from three developmental stages,"Tamer A Mansour, Joshua J C Rosenthal, C Titus Brown, Loretta M Roberson",15 November 2019,2019
Deep learning for clustering of multivariate clinical patient trajectories with missing values,"Johann de Jong, Mohammad Asif Emon, Ping Wu, Reagon Karki, Meemansa Sood ...",15 November 2019,2019
RootNav 2.0: Deep learning for automatic navigation of complex plant root architectures,"Robail Yasrab, Jonathan A Atkinson, Darren M Wells, Andrew P French, Tony P Pridmore ...",08 November 2019,2019
Chromosomal-level reference genome of Chinese peacock butterfly (Papilio bianor) based on third-generation DNA sequencing and Hi-C analysis,"Sihan Lu, Jie Yang, Xuelei Dai, Feiang Xie, Jinwu He ...",04 November 2019,2019
Sharing interoperable workflow provenance: A review of best practices and their practical application in CWLProv,"Farah Zaib Khan, Stian Soiland-Reyes, Richard O Sinnott, Andrew Lonie, Carole Goble ...",01 November 2019,2019
"SwiftOrtho: A fast, memory-efficient, multiple genome orthology classifier","Xiao Hu, Iddo Friedberg",24 October 2019,2019
Key challenges facing data-driven multicellular systems biology,Paul Macklin,24 October 2019,2019
"Access to RNA-sequencing data from 1,173 plant species: The 1000 Plant transcriptomes initiative (1KP)","Eric J Carpenter, Naim Matasci, Saravanaraj Ayyampalayam, Shuangxiu Wu, Jing Sun ...",23 October 2019,2019
A chromosomal-level genome assembly for the giant African snail Achatina fulica,"Yunhai Guo, Yi Zhang, Qin Liu, Yun Huang, Guangyao Mao ...",21 October 2019,2019
