name,title,year,citations
maya e moralesmcdevitt,Mesocosm experiments to better understand hydrocarbon half-lives for oil and oil dispersant mixtures,2020,2
dawei shi,Mesocosm experiments to better understand hydrocarbon half-lives for oil and oil dispersant mixtures,2020,2
anthony h knap,Mesocosm experiments to better understand hydrocarbon half-lives for oil and oil dispersant mixtures,2020,2
antonietta quigg,Mesocosm experiments to better understand hydrocarbon half-lives for oil and oil dispersant mixtures,2020,2
stephen t sweet,Mesocosm experiments to better understand hydrocarbon half-lives for oil and oil dispersant mixtures,2020,2
jose l sericano,Mesocosm experiments to better understand hydrocarbon half-lives for oil and oil dispersant mixtures,2020,2
terry l wade,Mesocosm experiments to better understand hydrocarbon half-lives for oil and oil dispersant mixtures,2020,2
jasmijn f m holla,Determinants of dietary behaviour in wheelchair users with spinal cord injury or lower limb amputation: Perspectives of rehabilitation professionals and wheelchair users,2020,0
lizanne e van den akker,Determinants of dietary behaviour in wheelchair users with spinal cord injury or lower limb amputation: Perspectives of rehabilitation professionals and wheelchair users,2020,0
tessa dadema,Determinants of dietary behaviour in wheelchair users with spinal cord injury or lower limb amputation: Perspectives of rehabilitation professionals and wheelchair users,2020,0
sonja de groot,Determinants of dietary behaviour in wheelchair users with spinal cord injury or lower limb amputation: Perspectives of rehabilitation professionals and wheelchair users,2020,0
michael tieland,Determinants of dietary behaviour in wheelchair users with spinal cord injury or lower limb amputation: Perspectives of rehabilitation professionals and wheelchair users,2020,0
peter j m weijs,Determinants of dietary behaviour in wheelchair users with spinal cord injury or lower limb amputation: Perspectives of rehabilitation professionals and wheelchair users,2020,0
marije deutekom,Determinants of dietary behaviour in wheelchair users with spinal cord injury or lower limb amputation: Perspectives of rehabilitation professionals and wheelchair users,2020,0
on behalf of the wheelsstudy group,Determinants of dietary behaviour in wheelchair users with spinal cord injury or lower limb amputation: Perspectives of rehabilitation professionals and wheelchair users,2020,0
elizabeth m rhea,Insulin BBB pharmacokinetics in young apoE male and female transgenic mice,2020,0
eileen ruth s torres,Insulin BBB pharmacokinetics in young apoE male and female transgenic mice,2020,0
jacob raber,Insulin BBB pharmacokinetics in young apoE male and female transgenic mice,2020,0
william a banks,Insulin BBB pharmacokinetics in young apoE male and female transgenic mice,2020,0
catherine theys,Brain activation during non-habitual speech production: Revisiting the effects of simulated disfluencies in fluent speakers,2020,0
silvia kovacs,Brain activation during non-habitual speech production: Revisiting the effects of simulated disfluencies in fluent speakers,2020,0
ronald peeters,Brain activation during non-habitual speech production: Revisiting the effects of simulated disfluencies in fluent speakers,2020,0
tracy r melzer,Brain activation during non-habitual speech production: Revisiting the effects of simulated disfluencies in fluent speakers,2020,0
astrid van wieringen,Brain activation during non-habitual speech production: Revisiting the effects of simulated disfluencies in fluent speakers,2020,0
luc f de nil,Brain activation during non-habitual speech production: Revisiting the effects of simulated disfluencies in fluent speakers,2020,0
mariana tudoran,Aspects of diastolic dysfunction in patients with new and recurrent depression,2020,2
cristina tudoran,Aspects of diastolic dysfunction in patients with new and recurrent depression,2020,2
tudor ciocarlie,Aspects of diastolic dysfunction in patients with new and recurrent depression,2020,2
catalina giurgioncu,Aspects of diastolic dysfunction in patients with new and recurrent depression,2020,2
marta kolanowska,Is the lady's-slipper orchid (Cypripedium calceolus) likely to shortly become extinct in Europe?—Insights based on ecological niche modelling,2020,4
anna jakubskabusse,Is the lady's-slipper orchid (Cypripedium calceolus) likely to shortly become extinct in Europe?—Insights based on ecological niche modelling,2020,4
alyne riani moreira,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
thamyres barros pereira de castro,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
júlia benini kohler,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
juliana tiyaki ito,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
larissa emídio de frança silva,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
juliana dias lourenço,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
rafael ribeiro almeida,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
fernanda roncon santana,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
jose mara brito,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
dolores helena rodriguez ferreira rivero,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
maria isabel cardoso alonso vale,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
carla máximo prado,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
niels olsen saraiva câmara,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
paulo hilário nascimento saldiva,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
clarice rosa olivo,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
fernanda degobbi tenorio quirino dos santos lopes,Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,2020,1
albert westergren,Measuring next of kin’s experience of participation in the care of older people in nursing homes,2020,1
lina behm,Measuring next of kin’s experience of participation in the care of older people in nursing homes,2020,1
tove lindhardt,Measuring next of kin’s experience of participation in the care of older people in nursing homes,2020,1
magnus persson,Measuring next of kin’s experience of participation in the care of older people in nursing homes,2020,1
gerd ahlström,Measuring next of kin’s experience of participation in the care of older people in nursing homes,2020,1
shashi kant kumar,Immune responses to Mycobacterium tuberculosis membrane-associated antigens including alpha crystallin can potentially discriminate between latent infection and active tuberculosis disease,2020,1
suvrat arya,Immune responses to Mycobacterium tuberculosis membrane-associated antigens including alpha crystallin can potentially discriminate between latent infection and active tuberculosis disease,2020,1
amita aggarwal,Immune responses to Mycobacterium tuberculosis membrane-associated antigens including alpha crystallin can potentially discriminate between latent infection and active tuberculosis disease,2020,1
prerna kapoor,Immune responses to Mycobacterium tuberculosis membrane-associated antigens including alpha crystallin can potentially discriminate between latent infection and active tuberculosis disease,2020,1
alok nath,Immune responses to Mycobacterium tuberculosis membrane-associated antigens including alpha crystallin can potentially discriminate between latent infection and active tuberculosis disease,2020,1
ramnath misra,Immune responses to Mycobacterium tuberculosis membrane-associated antigens including alpha crystallin can potentially discriminate between latent infection and active tuberculosis disease,2020,1
sudhir sinha,Immune responses to Mycobacterium tuberculosis membrane-associated antigens including alpha crystallin can potentially discriminate between latent infection and active tuberculosis disease,2020,1
dan i lubman,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
sharon matthews,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
cherie heilbronn,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
jessica j killian,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
rowan p ogeil,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
belinda lloyd,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
katrina witt,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
rose crossin,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
karen smith,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
emma bosley,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
rosemary carney,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
alex wilson,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
matthew eastham,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
toby keene,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
carol shipp,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
debbie scott,"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records",2020,4
leifchristopher engel,Comprehensive multimodality characterization of hemodynamically significant and non-significant coronary lesions using invasive and noninvasive measures,2020,0
ulf landmesser,Comprehensive multimodality characterization of hemodynamically significant and non-significant coronary lesions using invasive and noninvasive measures,2020,0
youssef s abdelwahed,Comprehensive multimodality characterization of hemodynamically significant and non-significant coronary lesions using invasive and noninvasive measures,2020,0
