title,authors,year,citations
PanViz: interactive visualization of the structure of functionally annotated pangenomes,"Thomas Lin Pedersen, Intawat Nookaew, David Wayne Ussery, Maria Månsson",2017.0,12.0
RECKONER: read error corrector based on KMC,"Maciej Długosz, Sebastian Deorowicz",2017.0,10.0
pHMM-tree: phylogeny of profile hidden Markov models,"Luyang Huo, Han Zhang, Xueting Huo, Yasong Yang, Xueqiong Li ...",2017.0,14.0
RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,"Ravi D Shankar, Sanchita Bhattacharya, Chethan Jujjavarapu, Sandra Andorf, Jeffery A Wiser ...",2017.0,6.0
Cross-React: a new structural bioinformatics method for predicting allergen cross-reactivity,"Surendra S Negi, Werner Braun",2017.0,20.0
A comprehensive benchmark of RNA–RNA interaction prediction tools for all domains of life,"Sinan Uğur Umu, Paul P Gardner",2017.0,32.0
Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,"Irina Balaur, Alexander Mazein, Mansoor Saqi, Artem Lysenko, Christopher J Rawlings ...",2017.0,15.0
Context-sensitive network-based disease genetics prediction and its implications in drug discovery,"Yang Chen, Rong Xu",2017.0,16.0
The structural bioinformatics library: modeling in biomolecular science and beyond,"Frédéric Cazals, Tom Dreyfus",2017.0,31.0
"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm","Joël Lafond-Lapalme, Marc-Olivier Duceppe, Shengrui Wang, Peter Moffett, Benjamin Mimee",2017.0,16.0
Image-based correction of continuous and discontinuous non-planar axial distortion in serial section microscopy,"Philipp Hanslovsky, John A Bogovic, Stephan Saalfeld",2017.0,16.0
VarMatch: robust matching of small variant datasets using flexible scoring schemes,"Chen Sun, Paul Medvedev",2017.0,13.0
switchde: inference of switch-like differential expression along single-cell trajectories,"Kieran R Campbell, Christopher Yau",2017.0,18.0
Wright–Fisher exact solver (WFES): scalable analysis of population genetic models without simulation or diffusion theory,"Ivan Krukov, Bianca de Sanctis, A P Jason de Koning",2017.0,8.0
Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,"George Teodoro, Tahsin M Kurç, Luís F R Taveira, Alba C M A Melo, Yi Gao ...",2017.0,20.0
ontologyX: a suite of R packages for working with ontological data,"Daniel Greene, Sylvia Richardson, Ernest Turro",2017.0,33.0
Improved VCF normalization for accurate VCF comparison,"Arash Bayat, Bruno Gaëta, Aleksandar Ignjatovic, Sri Parameswaran",2017.0,5.0
GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,"Richard H Adams, Drew R Schield, Daren C Card, Heath Blackmon, Todd A Castoe",2017.0,11.0
"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE","William H Majoros, Michael S Campbell, Carson Holt, Erin K DeNardo, Doreen Ware ...",2017.0,3.0
cBinderDB: a covalent binding agent database,"Jiewen Du, Xin Yan, Zhihong Liu, Lu Cui, Peng Ding ...",,
RENT+: an improved method for inferring local genealogical trees from haplotypes with recombination,"Sajad Mirzaei, Yufeng Wu",2017.0,17.0
GE-mini: a mobile APP for large-scale gene expression visualization,"Zefang Tang, Chenwei Li, Karena Zhang, Mingyu Yang, Xueda Hu",2017.0,20.0
Using genotype array data to compare multi- and single-sample variant calls and improve variant call sets from deep coverage whole-genome sequencing data,"Suyash S Shringarpure, Rasika A Mathias, Ryan D Hernandez, Timothy D O’Connor, Zachary A Szpiech ...",2017.0,4.0
