name,title,year,citations
andy l olivares,Virtual exploration of early stage atherosclerosis,2020.0,1.0
miguel a gonzález ballester,Virtual exploration of early stage atherosclerosis,2020.0,1.0
jérôme noailly,Virtual exploration of early stage atherosclerosis,2020.0,1.0
andy l olivares,Virtual exploration of early stage atherosclerosis,2020.0,1.0
miguel a gonzález ballester,Virtual exploration of early stage atherosclerosis,2020.0,1.0
jérôme noailly,Virtual exploration of early stage atherosclerosis,2020.0,1.0
hadrien gourlé,Simulating Illumina metagenomic data with InSilicoSeq,2020.0,1.0
oskar karlssonlindsjö,Simulating Illumina metagenomic data with InSilicoSeq,2020.0,1.0
juliette hayer,Simulating Illumina metagenomic data with InSilicoSeq,2020.0,1.0
erik bongcamrudloff,Simulating Illumina metagenomic data with InSilicoSeq,2020.0,1.0
christian x weichenberger,Comparative assessment of different familial aggregation methods in the context of large and unstructured pedigrees,2020.0,
johannes rainer,Comparative assessment of different familial aggregation methods in the context of large and unstructured pedigrees,2020.0,
cristian pattaro,Comparative assessment of different familial aggregation methods in the context of large and unstructured pedigrees,2020.0,
peter p pramstaller,Comparative assessment of different familial aggregation methods in the context of large and unstructured pedigrees,2020.0,
francisco s domingues,Comparative assessment of different familial aggregation methods in the context of large and unstructured pedigrees,2020.0,
sam q sun,Database of evidence for precision oncology portal,2020.0,16.0
r jay mashl,Database of evidence for precision oncology portal,2020.0,16.0
sohini sengupta,Database of evidence for precision oncology portal,2020.0,16.0
adam d scott,Database of evidence for precision oncology portal,2020.0,16.0
weihua wang,Database of evidence for precision oncology portal,2020.0,16.0
guillaume marçais,Asymptotically optimal minimizers schemes,2020.0,1.0
dan deblasio,Asymptotically optimal minimizers schemes,2020.0,1.0
carl kingsford,Asymptotically optimal minimizers schemes,2020.0,1.0
stefano nembrini,The revival of the Gini importance?,2020.0,1.0
inke r könig,The revival of the Gini importance?,2020.0,1.0
marvin n wright,The revival of the Gini importance?,2020.0,1.0
yu li,DeepSimulator: a deep simulator for Nanopore sequencing,2020.0,1.0
renmin han,DeepSimulator: a deep simulator for Nanopore sequencing,2020.0,1.0
chongwei bi,DeepSimulator: a deep simulator for Nanopore sequencing,2020.0,1.0
mo li,DeepSimulator: a deep simulator for Nanopore sequencing,2020.0,1.0
sheng wang,DeepSimulator: a deep simulator for Nanopore sequencing,2020.0,1.0
huimin luo,Computational drug repositioning using low-rank matrix approximation and randomized algorithms,2020.0,2.0
min li,Computational drug repositioning using low-rank matrix approximation and randomized algorithms,2020.0,2.0
shaokai wang,Computational drug repositioning using low-rank matrix approximation and randomized algorithms,2020.0,2.0
quan liu,Computational drug repositioning using low-rank matrix approximation and randomized algorithms,2020.0,2.0
yaohang li,Computational drug repositioning using low-rank matrix approximation and randomized algorithms,2020.0,2.0
yoann pageaud,Enrichment analysis with EpiAnnotator,2020.0,2.0
christoph plass,Enrichment analysis with EpiAnnotator,2020.0,2.0
yassen assenov,Enrichment analysis with EpiAnnotator,2020.0,2.0
francesco ceccarelli,Bringing data from curated pathway resources to Cytoscape with OmniPath,2020.0,9.0
denes turei,Bringing data from curated pathway resources to Cytoscape with OmniPath,2020.0,9.0
attila gabor,Bringing data from curated pathway resources to Cytoscape with OmniPath,2020.0,9.0
julio saezrodriguez,Bringing data from curated pathway resources to Cytoscape with OmniPath,2020.0,9.0
steven xijin ge,ShinyGO: a graphical gene-set enrichment tool for animals and plants,2020.0,136.0
dongmin jung,ShinyGO: a graphical gene-set enrichment tool for animals and plants,2020.0,136.0
runan yao,ShinyGO: a graphical gene-set enrichment tool for animals and plants,2020.0,136.0
palle duun rohde,qgg: an R package for large-scale quantitative genetic analyses,2020.0,7.0
izel fourie sørensen,qgg: an R package for large-scale quantitative genetic analyses,2020.0,7.0
peter sørensen,qgg: an R package for large-scale quantitative genetic analyses,2020.0,7.0
soumitra pal,Bioinformatics pipeline using JUDI: Just Do It!,2020.0,1.0
teresa m przytycka,Bioinformatics pipeline using JUDI: Just Do It!,2020.0,1.0
chuanyi zhang,VEF: a variant filtering tool based on ensemble methods,2020.0,
idoia ochoa,VEF: a variant filtering tool based on ensemble methods,2020.0,
kristina l buschur,Causal network perturbations for instance-specific analysis of single cell and disease samples,2020.0,3.0
maria chikina,Causal network perturbations for instance-specific analysis of single cell and disease samples,2020.0,3.0
panayiotis v benos,Causal network perturbations for instance-specific analysis of single cell and disease samples,2020.0,3.0
erand smakaj,Benchmarking immunoinformatic tools for the analysis of antibody repertoire sequences,2020.0,8.0
lmar babrak,Benchmarking immunoinformatic tools for the analysis of antibody repertoire sequences,2020.0,8.0
mats ohlin,Benchmarking immunoinformatic tools for the analysis of antibody repertoire sequences,2020.0,8.0
mikhail shugay,Benchmarking immunoinformatic tools for the analysis of antibody repertoire sequences,2020.0,8.0
bryan briney,Benchmarking immunoinformatic tools for the analysis of antibody repertoire sequences,2020.0,8.0
huizeng sun,Multi-omics reveals functional genomic and metabolic mechanisms of milk production and quality in dairy cows,2020.0,4.0
