title,year,citations
Virtual exploration of early stage atherosclerosis,2020.0,1.0
Simulating Illumina metagenomic data with InSilicoSeq,2020.0,1.0
Comparative assessment of different familial aggregation methods in the context of large and unstructured pedigrees,2020.0,
Database of evidence for precision oncology portal,2020.0,16.0
Asymptotically optimal minimizers schemes,2020.0,1.0
The revival of the Gini importance?,2020.0,1.0
DeepSimulator: a deep simulator for Nanopore sequencing,2020.0,1.0
Computational drug repositioning using low-rank matrix approximation and randomized algorithms,2020.0,2.0
Enrichment analysis with EpiAnnotator,2020.0,2.0
Bringing data from curated pathway resources to Cytoscape with OmniPath,2020.0,9.0
ShinyGO: a graphical gene-set enrichment tool for animals and plants,2020.0,136.0
qgg: an R package for large-scale quantitative genetic analyses,2020.0,7.0
Bioinformatics pipeline using JUDI: Just Do It!,2020.0,1.0
VEF: a variant filtering tool based on ensemble methods,2020.0,
Causal network perturbations for instance-specific analysis of single cell and disease samples,2020.0,3.0
Benchmarking immunoinformatic tools for the analysis of antibody repertoire sequences,2020.0,8.0
Multi-omics reveals functional genomic and metabolic mechanisms of milk production and quality in dairy cows,2020.0,4.0
Complexity measures of the mature miRNA for improving pre-miRNAs prediction,2020.0,2.0
LOBSTER: an environment to design bioimage analysis workflows for large and complex fluorescence microscopy data,2020.0,1.0
iMIRAGE: an R package to impute microRNA expression using protein-coding genes,2020.0,
LPM: a latent probit model to characterize the relationship among complex traits using summary statistics from multiple GWASs and functional annotations,2020.0,
A haplotype-aware de novo assembly of related individuals using pedigree sequence graph,2020.0,4.0
CGLFold: a contact-assisted de novo protein structure prediction using global exploration and loop perturbation sampling algorithm,2020.0,4.0
PheGWAS: a new dimension to visualize GWAS across multiple phenotypes,2020.0,1.0
AQUA-DUCT 1.0: structural and functional analysis of macromolecules from an intramolecular voids perspective,2020.0,10.0
Meta-analysis of Caenorhabditis elegans single-cell developmental data reveals multi-frequency oscillation in gene activation,2020.0,2.0
MPF–BML: a standalone GUI-based package for maximum entropy model inference,2020.0,
SAMMI: a semi-automated tool for the visualization of metabolic networks,2020.0,
PDEparams: parameter fitting toolbox for partial differential equations in python,2020.0,2.0
Using deep learning to associate human genes with age-related diseases,2020.0,1.0
A framework for exhaustive modelling of genetic interaction patterns using Petri nets,2020.0,
