title,authors,year,citations
Correction: Small-Molecule Inhibitors of Dengue-Virus Entry,"Aaron G. Schmidt, Kyungae Lee, Priscilla L. Yang, Stephen C. Harrison",2019,0
Finding the needle in a haystack: Mapping antifungal drug resistance in fungal pathogen by genomic approaches,Dominique Sanglard,2019,9
Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,"Loryn Holokai, Jayati Chakrabarti, Taylor Broda, Julie Chang, Jennifer A. Hawkins, Nambirajan Sundaram, Lydia E. Wroblewski, Richard M. Peek Jr., Jiang Wang, Michael Helmrath, James M. Wells, Yana Zavros",2019,24
Plasmodium male gametocyte development and transmission are critically regulated by the two putative deadenylases of the CAF1/CCR4/NOT complex,"Kevin J. Hart, Jenna Oberstaller, Michael P. Walker, Allen M. Minns, Mark F. Kennedy, Ian Padykula, John H. Adams, Scott E. Lindner",2019,3
Correction: Reelin controls the positioning of brainstem serotonergic raphe neurons,"Reham Shehabeldin, David Lutz, Meliha Karsak, Michael Frotscher, Kerstin Krieglstein, Ahmed Sharaf",2019,0
Correction: Towards a Better Detection of Horizontally Transferred Genes by Combining Unusual Properties Effectively,"Dapeng Xiong, Fen Xiao, Li Liu, Kai Hu, Yanping Tan, Shunmin He, Xieping Gao",2019,0
A meta-analysis of anti-interleukin-13 monoclonal antibodies for uncontrolled asthma,"Hang Li, Kai Wang, Huiting Huang, Wenbin Cheng, Xiaohong Liu",2019,7
Correction: BMP-Non-Responsive Sca1+CD73+CD44+ Mouse Bone Marrow Derived Osteoprogenitor Cells Respond to Combination of VEGF and BMP-6 to Display Enhanced Osteoblastic Differentiation and Ectopic Bone Formation,"Vedavathi Madhu, Ching-Ju Li, Abhijit S. Dighe, Gary Balian, Quanjun Cui",2019,0
"Quality and quantity of dromedary camel DNA sampled from whole-blood, saliva, and tail-hair","Hasan Alhaddad, Tasneem Maraqa, Suha Alabdulghafour, Huda Alaskar, Randa Alaqeely, Faisal Almathen, Bader H. Alhajeri",2019,4
Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,"Lucas Dhom-Lemos, Agostinho Gonçalves Viana, João Luis Reis Cunha, Mariana Santos Cardoso, Tiago Antônio Oliveira Mendes, Guilherme Rafael Gomide Pinheiro, Williane Fernanda Siqueira, Francisco Pereira Lobo, Leandro Freitas Teles, Lilian Lacerda Bueno, Silvio Fernando Guimarães-Carvalho, Daniella Castanheira Bartholomeu, Ricardo Toshio Fujiwara",2019,12
‘We are always desperate and will try anything to conceive’: The convoluted and dynamic process of health seeking among women with infertility in the West Coast Region of The Gambia,"Susan Dierickx, Julie Balen, Chia Longman, Ladan Rahbari, Ed Clarke, Bintou Jarju, Gily Coene",2019,4
Latanoprost could exacerbate the progression of presbyopia,"Masahiko Ayaki, Yukari Tsuneyoshi, Kenya Yuki, Kazuo Tsubota, Kazuno Negishi",2019,1
"Humorous cognitive reappraisal: More benign humour and less ""dark"" humour is affiliated with more adaptive cognitive reappraisal strategies","Corinna M. Perchtold, Elisabeth M. Weiss, Christian Rominger, Kurt Feyaerts, Willibald Ruch, Andreas Fink, Ilona Papousek",2019,10
Predicting in-hospital mortality among non-trauma patients based on vital sign changes between prehospital and in-hospital: An observational cohort study,"Yohei Kamikawa, Hiroyuki Hayashi",2019,3
Clinical outcomes and dosimetric study of hypofractionated Helical TomoTherapy in breast cancer patients,"Imjai Chitapanarux, Wannapha Nobnop, Damrongsak Tippanya, Patumrat Sripan, Somvilai Chakrabandhu, Pitchayaponne Klunklin, Wimrak Onchan, Bongkot Jia-Mahasap, Ekkasit Tharavichitkul",2019,6
Dengue and chikungunya seroprevalence among Qatari nationals and immigrants residing in Qatar,"John M. Humphrey, Enas S. Al-Absi, Munia M. Hamdan, Sara S. Okasha, Diyna M. Al-Trmanini, Hend G. El-Dous, Soha R. Dargham, John Schieffelin, Laith J. Abu-Raddad, Gheyath K. Nasrallah",2019,3
A match-day analysis of the movement profiles of substitutes from a professional soccer club before and after pitch-entry,"Samuel P. Hills, Steve Barrett, Richard G. Feltbower, Martin J. Barwood, Jon N. Radcliffe, Carlton B. Cooke, Liam P. Kilduff, Christian J. Cook, Mark Russell",2019,12
A model based on intensity of medical care may improve outcomes for internal medicine patients in Italy,"Emanuele Torri, Marta Rigoni, Stefania Dorigoni, Dimitri Peterlana, Susanna Cozzio, Giandomenico Nollo, Walter Spagnolli",2019,2
