name,title,year,citations
sudeepta kumar panda,Green listed—a CRISPR screen tool,2018.0,
sanjay v boddul,Green listed—a CRISPR screen tool,2018.0,
guillermina yanek jiménezandrade,Green listed—a CRISPR screen tool,2018.0,
long jiang,Green listed—a CRISPR screen tool,2018.0,
zsolt kasza,Green listed—a CRISPR screen tool,2018.0,
joseph g azofeifa,A generative model for the behavior of RNA polymerase,2018.0,
robin d dowell,A generative model for the behavior of RNA polymerase,2018.0,
hamid younesy,ChAsE: chromatin analysis and exploration tool,2018.0,
cydney b nielsen,ChAsE: chromatin analysis and exploration tool,2018.0,
matthew c lorincz,ChAsE: chromatin analysis and exploration tool,2018.0,
steven jm jones,ChAsE: chromatin analysis and exploration tool,2018.0,
mohammad m karimi,ChAsE: chromatin analysis and exploration tool,2018.0,
michael degiorgio,"S weep F inder 2: increased sensitivity, robustness and flexibility",2018.0,
christian d huber,"S weep F inder 2: increased sensitivity, robustness and flexibility",2018.0,
melissa j hubisz,"S weep F inder 2: increased sensitivity, robustness and flexibility",2018.0,
ines hellmann,"S weep F inder 2: increased sensitivity, robustness and flexibility",2018.0,
rasmus nielsen,"S weep F inder 2: increased sensitivity, robustness and flexibility",2018.0,
jhihrong lin,PGA: post-GWAS analysis for disease gene identification,2018.0,4.0
daniel jaroslawicz,PGA: post-GWAS analysis for disease gene identification,2018.0,4.0
ying cai,PGA: post-GWAS analysis for disease gene identification,2018.0,4.0
quanwei zhang,PGA: post-GWAS analysis for disease gene identification,2018.0,4.0
zhen wang,PGA: post-GWAS analysis for disease gene identification,2018.0,4.0
danny antaki,SV2: accurate structural variation genotyping and de novo mutation detection from whole genomes,2018.0,31.0
william m brandler,SV2: accurate structural variation genotyping and de novo mutation detection from whole genomes,2018.0,31.0
jonathan sebat,SV2: accurate structural variation genotyping and de novo mutation detection from whole genomes,2018.0,31.0
hamza khan,ChopStitch: exon annotation and splice graph construction using transcriptome assembly and whole genome sequencing data,2018.0,5.0
hamid mohamadi,ChopStitch: exon annotation and splice graph construction using transcriptome assembly and whole genome sequencing data,2018.0,5.0
benjamin p vandervalk,ChopStitch: exon annotation and splice graph construction using transcriptome assembly and whole genome sequencing data,2018.0,5.0
rene l warren,ChopStitch: exon annotation and splice graph construction using transcriptome assembly and whole genome sequencing data,2018.0,5.0
justin chu,ChopStitch: exon annotation and splice graph construction using transcriptome assembly and whole genome sequencing data,2018.0,5.0
nadir sella,MIIC online: a web server to reconstruct causal or non-causal networks from non-perturbative data,2018.0,5.0
louis verny,MIIC online: a web server to reconstruct causal or non-causal networks from non-perturbative data,2018.0,5.0
guido uguzzoni,MIIC online: a web server to reconstruct causal or non-causal networks from non-perturbative data,2018.0,5.0
séverine affeldt,MIIC online: a web server to reconstruct causal or non-causal networks from non-perturbative data,2018.0,5.0
hervé isambert,MIIC online: a web server to reconstruct causal or non-causal networks from non-perturbative data,2018.0,5.0
alejandro panjkovich,CHROMIXS: automatic and interactive analysis of chromatography-coupled small-angle X-ray scattering data,2018.0,72.0
dmitri i svergun,CHROMIXS: automatic and interactive analysis of chromatography-coupled small-angle X-ray scattering data,2018.0,72.0
nilesh r tawari,ChronQC: a quality control monitoring system for clinical next generation sequencing,2018.0,1.0
justine jia wen seow,ChronQC: a quality control monitoring system for clinical next generation sequencing,2018.0,1.0
dharuman perumal,ChronQC: a quality control monitoring system for clinical next generation sequencing,2018.0,1.0
jack l ow,ChronQC: a quality control monitoring system for clinical next generation sequencing,2018.0,1.0
shimin ang,ChronQC: a quality control monitoring system for clinical next generation sequencing,2018.0,1.0
vishrawas gopalakrishnan,Towards self-learning based hypotheses generation in biomedical text domain,2018.0,15.0
kishlay jha,Towards self-learning based hypotheses generation in biomedical text domain,2018.0,15.0
guangxu xun,Towards self-learning based hypotheses generation in biomedical text domain,2018.0,15.0
hung q ngo,Towards self-learning based hypotheses generation in biomedical text domain,2018.0,15.0
aidong zhang,Towards self-learning based hypotheses generation in biomedical text domain,2018.0,15.0
min li,"DyNetViewer: a Cytoscape app for dynamic network construction, analysis and visualization",2018.0,21.0
jie yang,"DyNetViewer: a Cytoscape app for dynamic network construction, analysis and visualization",2018.0,21.0
fangxiang wu,"DyNetViewer: a Cytoscape app for dynamic network construction, analysis and visualization",2018.0,21.0
yi pan,"DyNetViewer: a Cytoscape app for dynamic network construction, analysis and visualization",2018.0,21.0
jianxin wang,"DyNetViewer: a Cytoscape app for dynamic network construction, analysis and visualization",2018.0,21.0
jingpu zhang,Ontological function annotation of long non-coding RNAs through hierarchical multi-label classification,2018.0,35.0
zuping zhang,Ontological function annotation of long non-coding RNAs through hierarchical multi-label classification,2018.0,35.0
zixiang wang,Ontological function annotation of long non-coding RNAs through hierarchical multi-label classification,2018.0,35.0
yuting liu,Ontological function annotation of long non-coding RNAs through hierarchical multi-label classification,2018.0,35.0
lei deng,Ontological function annotation of long non-coding RNAs through hierarchical multi-label classification,2018.0,35.0
mengci li,polyPK: an R package for pharmacokinetic analysis of multi-component drugs using a metabolomics approach,2018.0,5.0
shouli wang,polyPK: an R package for pharmacokinetic analysis of multi-component drugs using a metabolomics approach,2018.0,5.0
guoxiang xie,polyPK: an R package for pharmacokinetic analysis of multi-component drugs using a metabolomics approach,2018.0,5.0
xiaohui ma,polyPK: an R package for pharmacokinetic analysis of multi-component drugs using a metabolomics approach,2018.0,5.0
