title,authors,year,citations
Bringing data from curated pathway resources to Cytoscape with OmniPath,"Francesco Ceccarelli, Denes Turei, Attila Gabor, Julio Saez-Rodriguez",2020,9
FunGeCo: a web-based tool for estimation of functional potential of bacterial genomes and microbiomes using gene context information,"Swadha Anand, Bhusan K Kuntal, Anwesha Mohapatra, Vineet Bhatt, Sharmila S Mande",,
ShinyGO: a graphical gene-set enrichment tool for animals and plants,"Steven Xijin Ge, Dongmin Jung, Runan Yao",2020,136
qgg: an R package for large-scale quantitative genetic analyses,"Palle Duun Rohde, Izel Fourie Sørensen, Peter Sørensen",2020,7
Bioinformatics pipeline using JUDI: Just Do It!,"Soumitra Pal, Teresa M Przytycka",2020,1
A deep learning architecture for metabolic pathway prediction,"Mayank Baranwal, Abram Magner, Paolo Elvati, Jacob Saldinger, Angela Violi ...",1994,16
VEF: a variant filtering tool based on ensemble methods,"Chuanyi Zhang, Idoia Ochoa",2020,
SMART: SuperMaximal approximate repeats tool,"Lorraine A K Ayad, Panagiotis Charalampopoulos, Solon P Pissis",2010,49
Causal network perturbations for instance-specific analysis of single cell and disease samples,"Kristina L Buschur, Maria Chikina, Panayiotis V Benos",2020,3
Benchmarking immunoinformatic tools for the analysis of antibody repertoire sequences,"Erand Smakaj, Lmar Babrak, Mats Ohlin, Mikhail Shugay, Bryan Briney ...",2020,8
Multi-omics reveals functional genomic and metabolic mechanisms of milk production and quality in dairy cows,"Hui-Zeng Sun, Mi Zhou, Ou Wang, Yanhong Chen, Jian-Xin Liu ...",2020,4
Complexity measures of the mature miRNA for improving pre-miRNAs prediction,"Jonathan Raad, Georgina Stegmayer, Diego H Milone",2020,2
LOBSTER: an environment to design bioimage analysis workflows for large and complex fluorescence microscopy data,"Sébastien Tosi, Lídia Bardia, Maria Jose Filgueira, Alexandre Calon, Julien Colombelli",2020,1
iMIRAGE: an R package to impute microRNA expression using protein-coding genes,"Aritro Nath, Jeremy Chang, R Stephanie Huang",2020,
LPM: a latent probit model to characterize the relationship among complex traits using summary statistics from multiple GWASs and functional annotations,"Jingsi Ming, Tao Wang, Can Yang",2020,
Regional imaging genetic enrichment analysis,"Xiaohui Yao, Shan Cong, Jingwen Yan, Shannon L Risacher, Andrew J Saykin ...",2018,8
A haplotype-aware de novo assembly of related individuals using pedigree sequence graph,"Shilpa Garg, John Aach, Heng Li, Isaac Sebenius, Richard Durbin ...",2020,4
CGLFold: a contact-assisted de novo protein structure prediction using global exploration and loop perturbation sampling algorithm,"Jun Liu, Xiao-Gen Zhou, Yang Zhang, Gui-Jun Zhang",2020,4
PheGWAS: a new dimension to visualize GWAS across multiple phenotypes,"Gittu George, Sushrima Gan, Yu Huang, Philip Appleby, A S Nar ...",2020,1
AQUA-DUCT 1.0: structural and functional analysis of macromolecules from an intramolecular voids perspective,"Tomasz Magdziarz, Karolina Mitusińska, Maria Bzówka, Agata Raczyńska, Agnieszka Stańczak ...",2020,10
Meta-analysis of Caenorhabditis elegans single-cell developmental data reveals multi-frequency oscillation in gene activation,"Luke A D Hutchison, Bonnie Berger, Isaac S Kohane",2020,2
MPF–BML: a standalone GUI-based package for maximum entropy model inference,"Ahmed A Quadeer, Matthew R McKay, John P Barton, Raymond H Y Louie",2020,
SAMMI: a semi-automated tool for the visualization of metabolic networks,"Andre Schultz, Rehan Akbani",2020,
PDEparams: parameter fitting toolbox for partial differential equations in python,"César Parra-Rojas, Esteban A Hernandez-Vargas",2020,2
Using deep learning to associate human genes with age-related diseases,"Fabio Fabris, Daniel Palmer, Khalid M Salama, João Pedro de Magalhães, Alex A Freitas",2020,1
A framework for exhaustive modelling of genetic interaction patterns using Petri nets,"Annika Jacobsen, Olga Ivanova, Saman Amini, Jaap Heringa, Patrick Kemmeren ...",2020,
scTIM: seeking cell-type-indicative marker from single cell RNA-seq data by consensus optimization,"Zhanying Feng, Xianwen Ren, Yuan Fang, Yining Yin, Chutian Huang ...",2020,2
ngsReports: a Bioconductor package for managing FastQC reports and other NGS related log files,"Christopher M Ward, Thu-Hien To, Stephen M Pederson",2020,13
GlyMDB: Glycan Microarray Database and analysis toolset,"Yiwei Cao, Sang-Jun Park, Akul Y Mehta, Richard D Cummings, Wonpil Im",2020,5
dSreg: a Bayesian model to integrate changes in splicing and RNA-binding protein activity,"Carlos Martí-Gómez, Enrique Lara-Pezzi, Fátima Sánchez-Cabo",2020,
VarGen: an R package for disease-associated variant discovery and annotation,"Corentin Molitor, Matt Brember, Fady Mohareb",2020,
