title,authors,year,citations
PGA: post-GWAS analysis for disease gene identification,"Jhih-Rong Lin, Daniel Jaroslawicz, Ying Cai, Quanwei Zhang, Zhen Wang ...",2018,4
SV2: accurate structural variation genotyping and de novo mutation detection from whole genomes,"Danny Antaki, William M Brandler, Jonathan Sebat",2018,31
ChopStitch: exon annotation and splice graph construction using transcriptome assembly and whole genome sequencing data,"Hamza Khan, Hamid Mohamadi, Benjamin P Vandervalk, Rene L Warren, Justin Chu ...",2018,5
MIIC online: a web server to reconstruct causal or non-causal networks from non-perturbative data,"Nadir Sella, Louis Verny, Guido Uguzzoni, Séverine Affeldt, Hervé Isambert",2018,5
CHROMIXS: automatic and interactive analysis of chromatography-coupled small-angle X-ray scattering data,"Alejandro Panjkovich, Dmitri I Svergun",2018,72
Aligning dynamic networks with DynaWAVE,"Vipin Vijayan, Tijana Milenković",,
ChronQC: a quality control monitoring system for clinical next generation sequencing,"Nilesh R Tawari, Justine Jia Wen Seow, Dharuman Perumal, Jack L Ow, Shimin Ang ...",2018,1
Towards self-learning based hypotheses generation in biomedical text domain,"Vishrawas Gopalakrishnan, Kishlay Jha, Guangxu Xun, Hung Q Ngo, Aidong Zhang",2018,15
"DyNetViewer: a Cytoscape app for dynamic network construction, analysis and visualization","Min Li, Jie Yang, Fang-Xiang Wu, Yi Pan, Jianxin Wang",2018,21
Ontological function annotation of long non-coding RNAs through hierarchical multi-label classification,"Jingpu Zhang, Zuping Zhang, Zixiang Wang, Yuting Liu, Lei Deng",2018,35
polyPK: an R package for pharmacokinetic analysis of multi-component drugs using a metabolomics approach,"Mengci Li, Shouli Wang, Guoxiang Xie, Xiaohui Ma, Tianlu Chen ...",2018,5
A benchmark for comparing precision medicine methods in thyroid cancer diagnosis using tissue microarrays,"Ching-Wei Wang, Yu-Ching Lee, Evelyne Calista, Fan Zhou, Hongtu Zhu ...",2018,10
Algorithmic identification of discrepancies between published ratios and their reported confidence intervals and P-values,"Constantin Georgescu, Jonathan D Wren",2018,12
myTAI: evolutionary transcriptomics with R,"Hajk-Georg Drost, Alexander Gabel, Jialin Liu, Marcel Quint, Ivo Grosse",,
DiffGraph: an R package for identifying gene network rewiring using differential graphical models,"Xiao-Fei Zhang, Le Ou-Yang, Shuo Yang, Xiaohua Hu, Hong Yan",2018,12
Protein classification using modified n-grams and skip-grams,"S M Ashiqul Islam, Benjamin J Heil, Christopher Michel Kearney, Erich J Baker",2018,17
Mustguseal: a server for multiple structure-guided sequence alignment of protein families,"Dmitry A Suplatov, Kirill E Kopylov, Nina N Popova, Vladimir V Voevodin, Vytas K Švedas",2018,22
DeepSig: deep learning improves signal peptide detection in proteins,"Castrense Savojardo, Pier Luigi Martelli, Piero Fariselli, Rita Casadio",2018,31
Multiple hot-deck imputation for network inference from RNA sequencing data,"Alyssa Imbert, Armand Valsesia, Caroline Le Gall, Claudia Armenise, Gregory Lefebvre ...",2018,10
Computational identification of binding energy hot spots in protein–RNA complexes using an ensemble approach,"Yuliang Pan, Zixiang Wang, Weihua Zhan, Lei Deng",2018,62
R2DGC: threshold-free peak alignment and identification for 2D gas chromatography-mass spectrometry in R,"Ryne C Ramaker, Emily R Gordon, Sara J Cooper",2018,7
mTM-align: an algorithm for fast and accurate multiple protein structure alignment,"Runze Dong, Zhenling Peng, Yang Zhang, Jianyi Yang",2018,19
PINE-SPARKY.2 for automated NMR-based protein structure research,"Woonghee Lee, John L Markley",2018,15
PRAPI: post-transcriptional regulation analysis pipeline for Iso-Seq,"Yubang Gao, Huiyuan Wang, Hangxiao Zhang, Yongsheng Wang, Jinfeng Chen ...",2018,15
A high-resolution map of the human small non-coding transcriptome,"Tobias Fehlmann, Christina Backes, Julia Alles, Ulrike Fischer, Martin Hart ...",2018,15
An automated benchmarking platform for MHC class II binding prediction methods,"Massimo Andreatta, Thomas Trolle, Zhen Yan, Jason A Greenbaum, Bjoern Peters ...",2018,42
DPMIND: degradome-based plant miRNA–target interaction and network database,"Yuhan Fei, Rui Wang, Haoyuan Li, Shu Liu, Hongsheng Zhang ...",2018,14
