title,authors,date,target year
On the critical review of five machine learning-based algorithms for predicting protein stability changes upon mutation,"Castrense Savojardo, Pier Luigi Martelli, Rita Casadio, Piero Fariselli",28 December 2019,2019
Drug–target prediction utilizing heterogeneous bio-linked network embeddings,"Nansu Zong, Rachael Sze Nga Wong, Yue Yu, Andrew Wen, Ming Huang ...",27 December 2019,2019
Computational resources and strategies to assess single-molecule dynamics of the translation process in S. cerevisiae,"Beatriz T  Magalhães, Anália Lourenço, Nuno F Azevedo",27 December 2019,2019
Small noncoding RNA discovery and profiling with sRNAtools based on high-throughput sequencing,"Qi Liu, Changjun Ding, Xiaoqiang Lang, Ganggang Guo, Jiafei Chen ...",24 December 2019,2019
BioMedR: an R/CRAN package for integrated data analysis pipeline in biomedical study,"Jie Dong, Min-Feng Zhu, Yong-Huan Yun, Ai-Ping Lu, Ting-Jun Hou ...",24 December 2019,2019
DTI-CDF: a cascade deep forest model towards the prediction of drug-target interactions based on hybrid features,"Yanyi Chu, Aman Chandra Kaushik, Xiangeng Wang, Wei Wang, Yufang Zhang ...",23 December 2019,2019
Deep learning for mining protein data,"Qiang Shi, Weiya Chen, Siqi Huang, Yan Wang, Zhidong Xue",20 December 2019,2019
Current challenges and best-practice protocols for microbiome analysis,"Richa Bharti, Dominik G Grimm",18 December 2019,2019
An extensive review of tools for manual annotation of documents,"Mariana Neves, Jurica Ševa",15 December 2019,2019
"A survey on adverse drug reaction studies: data, tasks and machine learning methods","Duc Anh Nguyen, Canh Hao Nguyen, Hiroshi Mamitsuka",15 December 2019,2019
Hybrid modelling of biological systems using fuzzy continuous Petri nets,"Fei Liu, Wujie Sun, Monika Heiner, David Gilbert",15 December 2019,2019
"Improving drug response prediction by integrating multiple data sources: matrix factorization, kernel and network-based approaches","Betül Güvenç Paltun, Hiroshi Mamitsuka, Samuel Kaski",15 December 2019,2019
Predicting drug-induced hepatotoxicity based on biological feature maps and diverse classification strategies,"Ran Su, Huichen Wu, Xinyi Liu, Leyi Wei",14 December 2019,2019
Current RNA-seq methodology reporting limits reproducibility,"Joël Simoneau, Simon Dumontier, Ryan Gosselin, Michelle S Scott",10 December 2019,2019
The effect of tissue composition on gene co-expression,"Yun Zhang, Jonavelle Cuerdo, Marc K Halushka, Matthew N McCall",08 December 2019,2019
Landscape of cancer diagnostic biomarkers from specifically expressed genes,"Yao Lv, Sheng-Yan Lin, Fei-Fei Hu, Zheng Ye, Qiong Zhang ...",08 December 2019,2019
Pathway Tools version 23.0 update: software for pathway/genome informatics and systems biology,"Peter D Karp, Peter E Midford, Richard Billington, Anamika Kothari, Markus Krummenacker ...",08 December 2019,2019
Deep learning of pharmacogenomics resources: moving towards precision oncology,"Yu-Chiao Chiu, Hung-I Harry Chen, Aparna Gorthi, Milad Mostavi, Siyuan Zheng ...",08 December 2019,2019
"Molecular dynamics simulations for genetic interpretation in protein coding regions: where we are, where to go and when","Juan J Galano-Frutos, Helena García-Cebollada, Javier Sancho",08 December 2019,2019
Fold-LTR-TCP: protein fold recognition based on triadic closure principle,"Bin Liu, Yulin Zhu, Ke Yan",08 December 2019,2019
Systematic evaluation of differential splicing tools for RNA-seq studies,"Arfa Mehmood, Asta Laiho, Mikko S Venäläinen, Aidan J McGlinchey, Ning Wang ...",05 December 2019,2019
Cardioinformatics: the nexus of bioinformatics and precision cardiology,"Bohdan B Khomtchouk, Diem-Trang Tran, Kasra A Vand, Matthew Might, Or Gozani ...",04 December 2019,2019
Critical assessment of bioinformatics methods for the characterization of pathological repeat expansions with single-molecule sequencing data,"Matteo Chiara, Federico Zambelli, Ernesto Picardi, David S Horner, Graziano Pesole",03 December 2019,2019
What’s the target: understanding two decades of in silico microRNA-target prediction,"Fabian Kern, Christina Backes, Pascal Hirsch, Tobias Fehlmann, Martin Hart ...",03 December 2019,2019
RNAactDrug: a comprehensive database of RNAs associated with drug sensitivity from multi-omics data,"Qun Dong, Feng Li, Yanjun Xu, Jing Xiao, Yingqi Xu ...",03 December 2019,2019
Identification and comprehensive characterization of lncRNAs with copy number variations and their driving transcriptional perturbed subpathways reveal functional significance for cancer,"Yanjun Xu, Tan Wu, Feng Li, Qun Dong, Jingwen Wang ...",03 December 2019,2019
