title,authors,date,target year
Link synthetic lethality to drug sensitivity of cancer cells,"Ruiping Wang, Yue Han, Zhangxiang Zhao, Fan Yang, Tingting Chen ...",28 December 2017,2017
"BioSeq-Analysis: a platform for DNA, RNA and protein sequence analysis based on machine learning approaches",Bin Liu,19 December 2017,2017
Developing a ‘personalome’ for precision medicine: emerging methods that compute interpretable effect sizes from single-subject transcriptomes,"Francesca Vitali, Qike Li, A Grant Schissler, Joanne Berghout, Colleen Kenost ...",18 December 2017,2017
Multi-omics integration—a comparison of unsupervised clustering methodologies,"Giulia Tini, Luca Marchetti, Corrado Priami, Marie-Pier Scott-Boyer",18 December 2017,2017
Bioinformatics for precision oncology,"Jochen Singer, Anja Irmisch, Hans-Joachim Ruscheweyh, Franziska Singer, Nora C Toussaint ...",18 December 2017,2017
"Comprehensive review and empirical analysis of hallmarks of DNA-, RNA- and protein-binding residues in protein chains","Jian Zhang, Zhiqiang Ma, Lukasz Kurgan",15 December 2017,2017
Bioinformatics in the Netherlands: the value of a nationwide community,"Celia W G van Gelder, Rob W W Hooft, Merlijn N van Rijswijk, Linda van den Berg, Ruben G Kok ...",15 December 2017,2017
A snapshot of 3649 Web-based services published between 1994 and 2017 shows a decrease in availability after 2 years,"Ágnes Ősz, Lőrinc Sándor Pongor, Danuta Szirmai, Balázs Győrffy",08 December 2017,2017
Conceptual and computational framework for logical modelling of biological networks deregulated in diseases,"Arnau Montagud, Pauline Traynard, Loredana Martignetti, Eric Bonnet, Emmanuel Barillot ...",08 December 2017,2017
A survey and evaluations of histogram-based statistics in alignment-free sequence comparison,"Brian B Luczak, Benjamin T James, Hani Z Girgis",06 December 2017,2017
"Community effort endorsing multiscale modelling, multiscale data science and multiscale computing for systems medicine","Massimiliano Zanin, Ivan Chorbev, Blaz Stres, Egils Stalidzans, Julio Vera ...",05 December 2017,2017
Assessing the heterogeneity of in silico plasmid predictions based on whole-genome-sequenced clinical isolates,"Cedric C Laczny, Valentina Galata, Achim Plum, Andreas E Posch, Andreas Keller",05 December 2017,2017
"Computer-aided biomarker discovery for precision medicine: data resources, models and applications","Yuxin Lin, Fuliang Qian, Li Shen, Feifei Chen, Jiajia Chen ...",29 November 2017,2017
